idHotel	name	description	price	idAsUUID
7	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1079	a4f0a727-5bd9-b959-2c60-7a9769613412
8	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	396	397f5da5-297f-1ea4-c98a-331693111064
8	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	576	7192ea88-c92b-8b57-f22d-79e564dc1ebc
8	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	856	a6e0f2ed-b46b-333a-0e78-be67cdbdeb06
9	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	433	529af707-8bd3-74b6-7461-e7263c7133b8
9	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	613	1bf4fdf2-79d1-4a79-0f6e-8876b71e1fd3
9	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	893	4e3e09b2-8323-9336-78eb-14dea73a5486
10	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	470	1ff247a3-9c2c-a358-0db6-1d4227d57113
10	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	650	e3e494c7-6029-d90e-8c4b-980594000a31
10	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	930	10acdbad-00b4-fbb8-19d9-07d0c5297b66
11	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	507	9e3caeea-d1f2-680d-ade9-fdca4d95bb47
11	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	687	3ba604e7-aba6-e82c-058e-1e0ad513f7e3
11	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	967	4f52f3ff-b38d-86ec-7978-58d066bd6611
12	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	544	5e2dc139-0194-8067-e5f6-1c3016adc402
12	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	724	b59f0614-609f-c51a-0708-2506db5d4d03
12	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1004	c6f7a015-751d-0a6c-97eb-1f470076fe8d
13	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	581	7ebdf4fe-c3fd-0c27-0909-5fa151644d14
13	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	761	8d5c8fc3-c954-3e32-dd23-2ad013527754
13	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1041	1ce2806d-14ac-bed4-7a65-ebf8e37831b2
14	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	618	cc873513-9cb6-241e-47cb-b1a006762824
14	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	798	aef974ed-3fbd-a564-2456-cdef1db99b0f
14	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1078	36361d3f-6432-8163-93af-6bb4d7ada578
15	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	395	80a5776f-42ae-b2b2-4e19-49594196492c
15	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	575	f1a47c78-b40e-e131-207a-e6dd6fa12d5e
15	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	855	31ddd789-45af-ce22-5ae0-54bc3fdaca66
16	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	432	d2e91314-78e8-a043-75a9-d1d0af5d4615
16	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	612	46afe83f-43bb-ea03-9fae-81d601a7e22f
16	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	892	843f1c98-31bc-447e-5959-82aad76ad7d0
17	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	469	b7db4b69-c3b7-a114-22fa-276b8c355ed2
17	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	649	2509582a-4897-5440-a9b0-cf541fd0b28c
17	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	929	e183e34b-63e9-a05b-811d-e8302157f8ce
18	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	506	3556d069-1027-d748-3bbe-ce33b2d2a8f2
18	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	686	a544b464-f27a-c2d0-0a1f-05c887b24ff4
18	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	966	6c6f3b5f-325e-d24b-235a-6f7c0169a2ed
19	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	543	726aa970-de47-2357-8b0b-95e2f1265daa
19	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	723	9b731f8d-0b2d-cbd0-2c63-768e34923ad6
19	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1003	584167c4-9903-d364-434f-795628d6127d
20	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	580	c6fb79c1-7ed9-2bec-78b2-d74214dcb591
20	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	760	6b175f9c-641c-1f37-3990-79b6549d1ae6
20	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1040	d81c83a0-76da-fa39-5160-99aed752dca4
21	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	617	ab1e6229-114f-6b55-8c62-f0520532bf15
21	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	797	cd3a322b-fa69-1224-6106-84dcbdd696c7
21	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1077	949fdcef-7fad-ab18-54cc-104d923153c7
22	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	394	08cbd848-a93b-6457-78c9-668768f66f01
22	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	574	8d58e223-7fe6-92cf-fe9e-ff8e747ac0d5
22	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	854	8c37ef93-8289-dd1a-421f-82d9f8c0bc54
23	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	431	06d3e681-9d83-f3c9-fbe6-0631ac6bafd8
23	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	611	3ba02451-32a3-c8a8-aadf-ce7aa45822ed
23	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	891	37dfea57-9380-135d-4392-dce6b9e1605b
24	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	468	cf3a3494-9fc8-fe29-b598-08f8aa8e8ab5
24	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	648	c55df986-b8ca-4c7b-cbcb-12e45bf19046
24	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	928	55e06907-a1e1-99d3-92e0-e90c54c8d06e
25	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	505	e1fd4998-0ccf-7603-a261-f70b710f4068
25	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	685	aeda1da6-a739-599e-32ba-ae762414115e
25	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	965	e8a5d2c6-1f8b-3e8f-03e5-8dac6d98fcf3
26	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	542	c25d0e51-876c-4b5a-42ce-9453f314d328
26	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	722	e21e3757-1d0c-d7c0-1731-ef36f66fe428
26	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1002	010b61e1-e910-c9d5-3ddb-18201190f2fb
27	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	579	d5a29783-8682-d597-b6f5-6ee677a7e5a0
27	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	759	41f95e8a-f479-f51b-d70c-9cad60f0fc80
27	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1039	0d3c3ba0-24a9-d599-686f-6236572c3023
28	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	616	f3fb49cb-d344-8dd7-a823-1f3f6a7f854a
28	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	796	0e50e0b6-5455-08a1-6a06-538975433323
28	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1076	8ca465b8-a0f4-7abf-6494-f407809d4eea
29	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	393	92bab084-e919-5f8e-c5a1-b0b05dab21bd
29	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	573	9b9b8d3e-e277-a568-30a5-eda761676f97
29	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	853	f037f3f9-d2d7-510f-2cc8-26ffc8d97cb1
30	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	430	2be84af6-3c66-8063-7600-7e4328a36212
30	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	610	694291da-3055-dbf9-e4ee-73cb4e86827e
30	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	890	86525f88-3ffc-9a42-bb3e-8b27167602dd
31	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	467	4a4e7856-de07-f806-46ef-0b56f3b72580
31	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	647	5e63e458-3593-e2fb-99ef-4c65113a7b93
31	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	927	0ae20d04-e2eb-ddfa-6938-48d6fab08257
32	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	504	af75f2ed-f504-2329-9ec9-9098235c697c
32	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	684	8bd71bcb-35e8-dc44-c57b-9929661fa40c
32	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	964	43671951-2b42-867b-e493-421b4e425140
33	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	541	664eff58-f902-ee8c-9212-7d1f9f1d5811
33	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	721	78f7481a-78aa-150f-f690-15d914e9d8b4
33	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1001	7f41b00a-6f62-3815-cecf-c623d5b696cb
34	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	578	6aa93719-7802-1784-9448-c0be0c90e1e2
34	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	758	e30e276f-917f-fb0a-42b8-893f761c7eca
34	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1038	aabf62c9-6f60-b83e-db78-9383f1cd0e4c
35	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	615	dcd7cf30-e22c-2aa4-73ee-dac4dea022b6
35	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	795	1f4321c4-6ccf-bf6e-eceb-73b4c268ad40
35	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1075	aafee89c-772e-e0a5-52ed-eeb4480d42eb
36	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	392	0e74c064-1802-9b68-c2b3-bd432ee90f48
36	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	572	d8222d16-d6e0-2904-9ed9-9900ef6606d6
36	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	852	0f3af259-e6d7-c552-4520-bae77afa5f96
37	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	429	45c2569b-65c2-f3f4-e2ea-7c2979225f5e
37	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	609	2d782d3d-44cf-ddd9-5c8e-e377f02a6d6a
37	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	889	3ad64dfd-844e-4202-f56a-6e02db55520b
38	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	466	0e7db5f8-b74d-f735-85c6-f3ad58ce5381
38	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	646	3182b20b-b3f8-d103-c0c0-97ec19c50702
38	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	926	77c7bfb1-c0dc-bcb1-c602-40241106babf
39	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	503	668a4ed3-7a4c-13af-8c4d-5c46e9811776
39	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	683	94703d8c-6f97-b7e4-2186-ac33dd24c9ef
39	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	963	156df9da-0695-40e9-f58f-59a117021895
40	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	540	c51b5664-392a-f589-e23b-7d885b13a0c3
40	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	720	bfab8a84-301d-75a6-5e16-5fc0748dc20f
40	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1000	b905f133-7ef6-12bb-dea3-027d59bfccea
41	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	577	dffec380-79b2-4887-ef73-def944a34716
41	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	757	a657036f-e435-b9c4-c2f9-b4ca80f3618f
41	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1037	c36faf65-a9fd-6f66-9448-aac1dc4131d2
42	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	614	db6c8257-df4c-46cd-166f-ea5135c71ef3
42	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	794	842069a6-2ca2-6c89-29d7-a2b827bbf100
42	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1074	6cf1e2ed-1ada-ac78-886e-e1fa08e62a91
43	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	391	1ad2c004-de9b-f6be-4e90-fb776aac8ed0
43	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	571	24ac08a4-c837-5e45-1a55-c4ace9b35d0c
43	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	851	42df47df-89f5-e185-940e-06e442630888
44	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	428	6863216c-5eff-24b5-881c-5532eb09c792
44	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	608	c9cc6287-16d0-13e8-e833-f56a8364ca0e
44	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	888	5461a05f-fcf4-e542-c1d6-c3b1121ffc43
45	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	465	b261c944-c9cb-81ad-46ca-debef53a315e
45	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	645	7b9d0ea3-10ec-62e6-6727-e650ae5b788c
45	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	925	10d4b568-20d6-71e9-6a7a-56640a08516f
46	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	502	2af916ce-64e2-dcc4-7bdd-be5b2c9085b5
46	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	682	8f2dd4a8-50a0-880d-fc4d-684a592a0553
46	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	962	a727a38f-e4c8-c35d-fd20-c0f1d911f845
47	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	539	62f1137a-bb3d-936a-0788-bc308949ea2c
47	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	719	c13e4568-489e-b492-f74e-528b29c79fba
47	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	999	4db7a8ac-7fc0-a859-7187-f8cd45c42dc2
48	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	576	1ab3702b-6a6a-cad3-d71f-993eb8caca13
48	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	756	bd6bf965-1a14-6894-73d3-9a62dc5d2b75
48	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1036	b86a5fdc-620d-cf35-3fd4-2a717d8db31f
49	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	613	407e3368-2459-0ada-a462-0bcbe6af5dee
49	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	793	81a0ebf1-e5b3-a91b-2b14-7409ac748af1
49	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1073	ebb53789-2b41-c009-2fda-6350b854cd6f
50	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	390	07d10818-4a3a-5cfe-4841-3e6046904c0d
50	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	570	6932039d-2db9-f385-ce56-fe8980c6ab9f
50	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	850	978a6576-ec8c-f5ae-7dae-05e7bf6005fc
51	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	427	e804988c-9dcd-1dcf-3ba4-b748795b4156
51	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	607	d075c263-509c-75e3-3871-084fb826c2e1
51	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	887	82ac52c8-c2c5-e92a-9935-1ba6304f2c3f
52	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	464	bea0114d-e9b0-7426-d10c-f7cadd88f89e
52	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	644	cf3728ba-c153-1fcf-4dd1-d9625e23ec83
52	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	924	6a86ee2e-6bc1-3d59-70ae-e8f78310da70
53	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	501	b965e9f3-751b-17bb-d24f-28165ea8d503
53	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	681	4edcd522-9f48-b963-2e70-761f14066407
53	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	961	20f4ad77-a4fc-b778-6d4f-110d5cf3ae09
54	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	538	c7310fe3-1e31-c1ee-be06-305769ce8269
54	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	718	89a98885-ff71-1fea-cd60-b137d9579ba7
54	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	998	b2aeb2ef-e029-dbbf-a24b-80aade8a44a8
55	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	575	6ceea0ea-217d-90c0-858a-dfec8fc3e45a
55	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	755	62a2e3c6-2cf8-3787-1727-5d086822a603
55	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1035	c8e4803b-22f7-0081-448e-4099c8eedba1
56	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	612	15b399e0-67ab-4203-b73d-73ae918c5d42
56	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	792	449942ff-4485-8592-3a12-abaf3fdf7bf6
56	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1072	936d2be1-439f-e415-7142-b296e207e9a7
57	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	389	b0a7dfed-a8fe-5fa8-ba94-e51d430c2334
57	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	569	e53e2227-a5f2-8452-5b49-8cce3bab19f9
57	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	849	d2967c2b-529c-c029-9db3-67b326b4b3b9
58	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	426	4019892f-a38d-b2af-3a84-580a55fc80ea
58	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	606	2121c718-4a68-5125-c82d-bbd0c1ffce38
58	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	886	90eba830-cd82-c8e1-e313-b63d5e6c32c9
59	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	463	0db12d9c-055b-f953-d1f3-4b3474be1147
59	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	643	dc2fedea-3496-41dc-51dc-ae6aacadb14b
59	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	923	64ef9a74-f493-b2ae-3acb-9d5fb66e80d7
