type	departureCity	arrivalCity	departureStation	arrivalStation	departureTime	arrivalTime	carrier	code	seatClass	price	remainingSeats	studentEligible	referenceDate	sourceUrl	sourceNote
TRAIN	北京	天津	北京南站	天津西站	06:28	07:30	中国铁路	G1002	二等座	60	7	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	重庆	北京首都国际机场	重庆江北国际机场	07:51	11:12	海南航空	HU1003	经济舱	890	6	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	重庆	北京南站	重庆北站	06:57	15:12	中国铁路	G1003	二等座	545	8	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	石家庄	北京首都国际机场	石家庄正定国际机场	08:28	09:49	中国国航	CA1004	经济舱	350	7	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	石家庄	北京南站	石家庄站	07:26	09:16	中国铁路	G1004	二等座	115	9	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	太原	北京首都国际机场	太原武宿国际机场	09:05	10:40	东方航空	MU1005	经济舱	420	8	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	太原	北京南站	太原南站	07:55	10:30	中国铁路	G1005	二等座	170	10	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	呼和浩特	北京首都国际机场	呼和浩特白塔国际机场	09:42	11:18	南方航空	CZ1006	经济舱	420	9	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	呼和浩特	北京南站	呼和浩特东站	08:24	11:00	中国铁路	G1006	二等座	170	11	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	沈阳	北京首都国际机场	沈阳桃仙国际机场	10:19	12:17	海南航空	HU1007	经济舱	520	10	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	沈阳	北京南站	沈阳北站	08:53	12:40	中国铁路	G1007	二等座	250	12	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	长春	北京首都国际机场	长春龙嘉国际机场	10:56	13:17	中国国航	CA1008	经济舱	620	11	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	长春	北京南站	长春西站	09:22	14:23	中国铁路	G1008	二等座	335	13	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	哈尔滨	北京首都国际机场	哈尔滨太平国际机场	11:33	14:13	东方航空	MU1009	经济舱	710	12	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	哈尔滨	北京南站	哈尔滨西站	09:51	15:56	中国铁路	G1009	二等座	405	14	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	南京	北京首都国际机场	南京禄口国际机场	12:10	14:35	南方航空	CZ1010	经济舱	640	13	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	南京	北京南站	南京南站	10:20	15:35	中国铁路	G1010	二等座	350	15	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	杭州	北京首都国际机场	杭州萧山国际机场	12:47	15:34	海南航空	HU1011	经济舱	750	14	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	合肥	北京首都国际机场	合肥新桥国际机场	13:24	15:49	中国国航	CA1012	经济舱	650	15	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	合肥	北京南站	合肥南站	11:18	16:34	中国铁路	G1012	二等座	355	17	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	福州	北京首都国际机场	福州长乐国际机场	14:01	17:32	东方航空	MU1013	经济舱	950	16	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	福州	北京南站	福州南站	11:47	20:35	中国铁路	G1013	二等座	595	18	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	南昌	北京首都国际机场	南昌昌北国际机场	14:38	17:38	南方航空	CZ1014	经济舱	810	17	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	南昌	北京南站	南昌西站	12:16	19:24	中国铁路	G1014	二等座	480	19	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	济南	北京首都国际机场	济南遥墙国际机场	15:15	16:46	海南航空	HU1015	经济舱	410	18	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	济南	北京南站	济南西站	12:45	15:07	中国铁路	G1015	二等座	165	20	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	郑州	北京首都国际机场	郑州新郑国际机场	15:52	17:49	中国国航	CA1016	经济舱	530	19	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	郑州	北京南站	郑州东站	13:14	17:00	中国铁路	G1016	二等座	260	21	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	武汉	北京首都国际机场	武汉天河国际机场	16:29	19:09	东方航空	MU1017	经济舱	720	20	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	武汉	北京南站	武汉站	13:43	19:48	中国铁路	G1017	二等座	415	22	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	长沙	北京首都国际机场	长沙黄花国际机场	17:06	20:15	南方航空	CZ1018	经济舱	850	21	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	长沙	北京南站	长沙南站	14:12	21:48	中国铁路	G1018	二等座	515	23	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	南宁	北京首都国际机场	南宁吴圩国际机场	18:20	22:39	中国国航	CA1020	经济舱	1170	23	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	南宁	北京南站	南宁东站	15:10	02:34	中国铁路	G1020	二等座	775	25	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	海口	北京首都国际机场	海口美兰国际机场	18:57	23:41	东方航空	MU1021	经济舱	1280	24	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	海口	北京南站	海口东站	15:39	04:21	中国铁路	G1021	二等座	860	26	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	成都	北京首都国际机场	成都天府国际机场	19:34	23:01	南方航空	CZ1022	经济舱	940	25	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	成都	北京南站	成都东站	16:08	00:45	中国铁路	G1022	二等座	590	27	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	贵阳	北京首都国际机场	贵阳龙洞堡国际机场	06:11	09:59	海南航空	HU1023	经济舱	1030	26	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	贵阳	北京南站	贵阳北站	16:37	02:19	中国铁路	G1023	二等座	665	28	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	昆明	北京首都国际机场	昆明长水国际机场	06:48	11:12	中国国航	CA1024	经济舱	1190	27	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	昆明	北京南站	昆明南站	17:06	04:44	中国铁路	G1024	二等座	795	29	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	拉萨	北京首都国际机场	拉萨贡嘎国际机场	07:25	12:36	东方航空	MU1025	经济舱	1410	28	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	拉萨	北京南站	拉萨站	17:35	07:45	中国铁路	G1025	二等座	965	30	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	西安	北京首都国际机场	西安咸阳国际机场	08:02	10:27	南方航空	CZ1026	经济舱	660	29	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	西安	北京南站	西安北站	18:04	23:21	中国铁路	G1026	二等座	370	31	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	兰州	北京首都国际机场	兰州中川国际机场	08:39	11:32	海南航空	HU1027	经济舱	790	30	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	兰州	北京南站	兰州西站	18:33	01:19	中国铁路	G1027	二等座	470	32	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	西宁	北京首都国际机场	西宁曹家堡国际机场	09:16	12:24	中国国航	CA1028	经济舱	850	31	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	西宁	北京南站	西宁站	19:02	02:35	中国铁路	G1028	二等座	525	33	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	银川	北京首都国际机场	银川河东国际机场	09:53	12:17	东方航空	MU1029	经济舱	660	32	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	银川	北京南站	银川站	19:31	00:43	中国铁路	G1029	二等座	365	34	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	乌鲁木齐	北京首都国际机场	乌鲁木齐天山国际机场	10:30	15:26	南方航空	CZ1030	经济舱	1340	33	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	乌鲁木齐	北京南站	乌鲁木齐站	20:00	09:23	中国铁路	G1030	二等座	915	35	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	香港	北京首都国际机场	香港国际机场	11:07	15:19	海南航空	HU1031	经济舱	1150	34	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	香港	北京南站	香港西九龙站	20:29	07:28	中国铁路	G1031	二等座	755	5	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	澳门	北京首都国际机场	澳门国际机场	11:44	15:58	中国国航	CA1032	经济舱	1160	35	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	澳门	北京南站	珠海站	05:58	17:04	中国铁路	G1032	二等座	765	6	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	台北	北京首都国际机场	台北桃园国际机场	12:21	16:08	东方航空	MU1033	经济舱	1040	36	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	台北	北京南站	台北车站	06:27	16:08	中国铁路	G1033	二等座	670	7	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	深圳	北京南站	深圳北站	06:56	17:48	中国铁路	G1034	二等座	750	8	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	厦门	北京首都国际机场	厦门高崎国际机场	13:35	17:22	海南航空	HU1035	经济舱	1040	3	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	厦门	北京南站	厦门北站	07:25	17:05	中国铁路	G1035	二等座	675	9	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	青岛	北京首都国际机场	青岛胶东国际机场	14:12	16:02	中国国航	CA1036	经济舱	510	4	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	青岛	北京南站	青岛北站	07:54	11:17	中国铁路	G1036	二等座	250	10	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	大连	北京首都国际机场	大连周水子国际机场	14:49	16:30	东方航空	MU1037	经济舱	470	5	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
TRAIN	北京	大连	北京南站	大连北站	08:23	11:17	中国铁路	G1037	二等座	220	11	true	2026-05-01	https://www.12306.cn/index/	全国覆盖演示模板 generated:nationwide-v1：城市、车站和距离分档用于扩展查询覆盖；车次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
FLIGHT	北京	宁波	北京首都国际机场	宁波栎社国际机场	15:26	18:22	南方航空	CZ1038	经济舱	810	6	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
