name	city
凌源东	朝阳市
凤凰城	丹东市
凤凰机场	三亚市
凤县	宝鸡市
凤城东	丹东市
凤州	宝鸡市
凤阳	滁州市
凭祥	崇左市
凯里	黔东南苗族侗族自治州
凯里南	黔东南苗族侗族自治州
刀尔登	朝阳市
分宜	新余市
刘家店	长春市
刘家河	丹东市
创业村	大庆市
利川	恩施土家族苗族自治州
利津南	东营市
到保	白城市
前卫	葫芦岛市
前山	珠海市
前磨头	衡水市
前苇塘	承德市
前进镇	佳木斯市
前锋	佳木斯市
剑门关	广元市
加格达奇	大兴安岭地区
勃利	七台河市
勉县	汉中市
包头	包头市
包头东	包头市
化州	茂名市
化德	乌兰察布市
北井子	赤峰市
北京	北京市
北京东	北京市
北京北	北京市
北京南	北京市
北京西	北京市
北台	本溪市
北宅	北京市
北安	黑河市
北屯	保定市
北屯市	阿勒泰地区
北戴河	秦皇岛市
北流	玉林市
北海	北海市
北滘	佛山市
北碚	重庆市
北票	朝阳市
北票南	朝阳市
北营	太原市
北马圈子	承德市
十堰	十堰市
十家子	阜新市
十渡	北京市
千岛湖	杭州市
千河	宝鸡市
千阳	宝鸡市
午汲	邯郸市
华城	梅州市
华家	长春市
华容	鄂州市
华容东	鄂州市
华容南	鄂州市
华山	渭南市
华山北	渭南市
华蓥	广安市
卓资东	乌兰察布市
卓资山	乌兰察布市
南丰	抚州市
南丹	河池市
南京	南京市
南京南	南京市
南仇	淄博市
南充	南充市
南充北	南充市
南关岭	大连市
南华	楚雄彝族自治州
南华北	楚雄彝族自治州
南博山	淄博市
南口	北京市
南口前	抚顺市
南召	南阳市
南台	鞍山市
南城	抚州市
南城司	保定市
南堡北	唐山市
南大庙	承德市
南头	中山市
南宁	南宁市
南宁东	南宁市
南宁西	南宁市
南宫东	邢台市
南岔	伊春市
南峪	石家庄市
南平	南平市
南平北	南平市
南平南	南平市
南昌	南昌市
南昌西	南昌市
南曹	郑州市
南朗	中山市
南木	呼伦贝尔市
南杂木	抚顺市
南桥	葫芦岛市
南江	巴中市
南江口	云浮市
南河川	天水市
南湖东	武汉市
南湾子	承德市
南翔北	上海市
南芬	本溪市
南芬北	本溪市
南观村	北京市
南通	南通市
南部	南充市
南阳	南阳市
南阳寨	郑州市
南陵	芜湖市
南雄	韶关市
南靖	漳州市
博乐	博尔塔拉蒙古自治州
博克图	呼伦贝尔市
博兴	滨州市
博白	玉林市
博鳌	海南省-自治区直辖县级行政区划
卢龙	秦皇岛市
卧里屯	大庆市
卫东	兴安盟
卫星	鸡西市
卫辉	新乡市
即墨北	青岛市
原平	忻州市
原平西	忻州市
厦  门	厦门市
厦门	厦门市
厦门北	厦门市
厦门高崎	厦门市
友好	伊春市
双丰	伊春市
双吉	吉林省
双城北	哈尔滨市
双城堡	哈尔滨市
双峰北	娄底市
双水镇	江门市
双河镇	吉林市
双洋	龙岩市
双流机场	成都市
双流西	成都市
双牌	永州市
双辽	四平市
双阳	长春市
双鸭山	双鸭山市
双龙湖	哈尔滨市
发耳	六盘水市
口前	吉林市
古东	太原市
古交	太原市
古北口	北京市
古城镇	牡丹江市
古浪	武威市
古田	宁德市
古田会址	龙岩市
古田北	宁德市
古莲	大兴安岭地区
古镇	中山市
句容西	镇江市
台前	濮阳市
台安	鞍山市
台安南	鞍山市
台山	江门市
台州	台州市
叶城	喀什地区
叶柏寿	朝阳市
司家岭	济南市
合川	重庆市
合浦	北海市
合肥	合肥市
合肥北城	合肥市
合肥南	合肥市
合肥西	合肥市
合阳	渭南市
合阳北	渭南市
吉安	吉安市
吉文	呼伦贝尔市
吉林	吉林省
吉舒	吉林市
吉首	湘西土家族苗族自治州
同心	吴忠市
同江	佳木斯市
名山	雅安市
后湖	武汉市
吐列毛杜	兴安盟
吐哈	吐鲁番市
吐鲁番	吐鲁番市
吐鲁番北	吐鲁番市
向塘	南昌市
向阳	牡丹江市
吕梁	吕梁市
启东	南通市
吴圩	南宁市
吴堡	榆林市
吴官田	曲靖市
吴家屯	沈阳市
吴家川	白银市
吴川	湛江市
吴桥	沧州市
周口	周口市
周家	哈尔滨市
周家屯	锦州市
周水子	大连市
呼兰	哈尔滨市
呼和浩特	呼和浩特市
呼和浩特东	呼和浩特市
呼鲁斯太	阿拉善盟
咋子	白山市
和什托洛盖	塔城地区
和平	河源市
和田	和田地区
和硕	巴音郭楞蒙古自治州
和静	巴音郭楞蒙古自治州
和龙	延边朝鲜族自治州
咸宁	咸宁市
咸宁东	咸宁市
咸宁北	咸宁市
咸宁南	咸宁市
咸阳	咸阳市
咸阳秦都	咸阳市
哈密	哈密市
哈尔滨	哈尔滨市
哈尔滨东	哈尔滨市
哈尔滨北	哈尔滨市
哈尔滨西	哈尔滨市
哈拉海	长春市
哈拉苏	呼伦贝尔市
哈达铺	陇南市
响水县	盐城市
哲里木	通辽市
唐家湾	珠海市
唐山	唐山市
唐山北	唐山市
唐河	南阳市
唐海南	唐山市
商丘	商丘市
商丘南	商丘市
商南	商洛市
商城	信阳市
商河	济南市
商洛	商洛市
商都	乌兰察布市
喀什	喀什地区
喀喇其	呼伦贝尔市
喀左	朝阳市
喇嘛甸	大庆市
喜德	凉山彝族自治州
嘉兴	嘉兴市
嘉兴南	嘉兴市
嘉善	嘉兴市
嘉善南	嘉兴市
嘉峪关	嘉峪关市
嘉峪关南	嘉峪关市
嘉峰	晋城市
嘉祥	济宁市
嘎什甸子	通辽市
四会	肇庆市
四合永	承德市
四平	四平市
四平东	四平市
四方台	绥化市
四棵树	塔城地区
四道湾	赤峰市
团结	齐齐哈尔市
园墩	武威市
固原	固原市
固始	信阳市
固安	廊坊市
固镇	蚌埠市
图们	延边朝鲜族自治州
图们北	延边朝鲜族自治州
图强	大兴安岭地区
图里河	呼伦贝尔市
土地堂东	咸宁市
土桥子	中卫市
土溪	达州市
土牧尔台	乌兰察布市
土贵乌拉	乌兰察布市
土门子	武威市
坂田	深圳市
坡底下	兰州市
坪上	临沂市
坪石	韶关市
垫江	重庆市
城固	汉中市
城固北	汉中市
城子坦	大连市
城西	海口市
城阳	青岛市
塔哈	齐齐哈尔市
塔城	塔城地区
塔尔气	呼伦贝尔市
塔崖驿	保定市
塔河	大兴安岭地区
塔石嘴	楚雄彝族自治州
塘沽	天津市
塘豹	怀化市
墨玉	和田地区
壮志	大庆市
复盛	重庆市
夏官营	兰州市
夏格庄	青岛市
夏石	崇左市
夏邑县	商丘市
大丰	株洲市
大余	赣州市
大元	南宁市
大关	昭通市
大兴	齐齐哈尔市
大兴沟	延边朝鲜族自治州
大其拉哈	呼伦贝尔市
大冶北	黄石市
大口屯	天津市
大同	大同市
大坝	吴忠市
大埔	梅州市
大堡	丹东市
大孤山	丹东市
大安	白城市
大安北	白城市
大官屯	抚顺市
大屯	长春市
大巴	阜新市
大平房	朝阳市
大庆	大庆市
大庆东	大庆市
大庆西	大庆市
大成	沈阳市
大战场	中卫市
大拟	钦州市
大方南	毕节市
大旺	肇庆市
大明湖	济南市
大朗镇	东莞市
大杖子	承德市
大杨树	呼伦贝尔市
大板	赤峰市
大林	通辽市
大武口	石嘴山市
大涧	大同市
大湾子	楚雄彝族自治州
大灰厂	北京市
大王滩	南宁市
大理	大理白族自治州
大田边	曲靖市
大盘石	保定市
大石头	延边朝鲜族自治州
大石头南	延边朝鲜族自治州
大石寨	兴安盟
大石桥	营口市
大磴沟	石嘴山市
大禾塘	邵阳市
大竹园	安康市
大红旗	沈阳市
大英东	遂宁市
大苴	楚雄彝族自治州
大荔	渭南市
大营	忻州市
大营子	朝阳市
大营镇	衡水市
大虎山	锦州市
大足南	重庆市
大连	大连市
大连北	大连市
大连西	大连市
大通西	西宁市
大邑	成都市
大阳	本溪市
大陆号	乌兰察布市
大雁	呼伦贝尔市
大青沟	通辽市
天义	赤峰市
天岗	吉林市
天柱山	安庆市
天桥岭	延边朝鲜族自治州
天水	天水市
天水南	天水市
天河机场	武汉市
天河街	武汉市
天津	天津市
天津北	天津市
天津南	天津市
天津西	天津市
天祝	武威市
天镇	大同市
天门	湖北省-自治区直辖县级行政区划
天门南	湖北省-自治区直辖县级行政区划
太原	太原市
太原东	太原市
太原北	太原市
太原南	太原市
太和北	阜阳市
太姥山	宁德市
太平川	松原市
太平镇	双鸭山市
太湖	安庆市
太谷	晋中市
太谷西	晋中市
太阳升	大庆市
太阳山	吴忠市
夹心子	大连市
奇峰塔	保定市
奈曼	通辽市
奈林皋	朝阳市
奉化	宁波市
奎屯	伊犁哈萨克自治州
奎山	牡丹江市
如东	南通市
如皋	南通市
始兴	韶关市
姚千户屯	沈阳市
姚安	楚雄彝族自治州
姚家	长春市
姚渡	广元市
姜堰	泰州市
姜家	绥化市
威海	威海市
威海北	威海市
威箐	六盘水市
威舍	黔西南布依族苗族自治州
威虎岭北	延边朝鲜族自治州
娄山关南	遵义市
娄底	娄底市
娄底南	娄底市
娄烦	太原市
娘子关	阳泉市
婺源	上饶市
嫩江	黑河市
子洲	榆林市
子长	延安市
孙吴	黑河市
孙家	哈尔滨市
孙镇	渭南市
孝南	吕梁市
孝感	孝感市
孝感东	孝感市
孝感北	孝感市
孝西	吕梁市
孟家岗	佳木斯市
孟庄	保定市
孤家子	沈阳市
孤山口	北京市
宁东	银川市
宁东南	银川市
宁乡	长沙市
宁国	宣城市
宁安	牡丹江市
宁家	兴安盟
宁强南	汉中市
宁德	宁德市
宁明	崇左市
宁村	南宁市
宁武	忻州市
宁波	宁波市
宁波东	宁波市
宁海	宁波市
宁陵县	商丘市
安亭北	上海市
安仁	郴州市
安化	益阳市
安口窑	平凉市
安图	延边朝鲜族自治州
安图西	延边朝鲜族自治州
安塘	忻州市
安多	那曲市
安定	北京市
安家	哈尔滨市
安平	辽阳市
安广	白城市
安庆	安庆市
安庆西	安庆市
安康	安康市
安德	成都市
安江东	怀化市
安溪	泉州市
安达	绥化市
安阳	安阳市
安阳东	安阳市
安陆	孝感市
安靖	成都市
安顺	安顺市
安顺西	安顺市
安龙	黔西南布依族苗族自治州
宋	绥化市
宋城路	开封市
宏克力	哈尔滨市
宏庆	陇南市
官厅	张家口市
官厅西	张家口市
官字井	松原市
官高	北京市
定南	赣州市
定州	保定市
定州东	保定市
定襄	忻州市
定西	定西市
定西北	定西市
定边	榆林市
定远	滁州市
定陶	菏泽市
宜兴	无锡市
宜城	襄阳市
宜宾	宜宾市
宜宾西	宜宾市
宜州	河池市
宜昌	宜昌市
宜昌东	宜昌市
宜春	宜春市
宜春西	宜春市
宜耐	昆明市
宜良北	昆明市
宝丰	平顶山市
宝华山	镇江市
宝坻	天津市
宝拉格	乌兰察布市
宝林	牡丹江市
宝泉岭	鹤岗市
宝清	双鸭山市
宝鸡	宝鸡市
宝鸡南	宝鸡市
宝龙山	通辽市
宣化	张家口市
宣和	中卫市
宣城	宣城市
宣威	曲靖市
宣汉	达州市
容县	玉林市
容桂	佛山市
宽甸	丹东市
宾州	哈尔滨市
宾西北	哈尔滨市
宾阳	南宁市
宿州	宿州市
宿州东	宿州市
宿松	安庆市
密云北	北京市
密山	鸡西市
富县	延安市
富县东	渭南市
富宁	文山壮族苗族自治州
富川	贺州市
富拉尔基	齐齐哈尔市
富海	齐齐哈尔市
富源	曲靖市
富源北	曲靖市
富裕	齐齐哈尔市
富锦	佳木斯市
富阳	杭州市
寒岭	辽阳市
寒葱沟	佳木斯市
察素齐	呼和浩特市
寮步	东莞市
对青山	哈尔滨市
寿阳	晋中市
射阳	盐城市
将乐	三明市
小东	锦州市
小哨	昆明市
小寺沟	承德市
小岭	哈尔滨市
小市	本溪市
小得江	曲靖市
小扬气	大兴安岭地区
小新街	昆明市
小月旧	楚雄彝族自治州
小村	楚雄彝族自治州
小榄	中山市
小河沿	赤峰市
小河镇	安康市
小董	钦州市
小西庄	保定市
小金口	惠州市
小雨谷	六盘水市
尖山	长沙市
尖峰	海南省-自治区直辖县级行政区划
尚家	绥化市
尚志	哈尔滨市
尚志南	哈尔滨市
尤溪	三明市
尹地	楚雄彝族自治州
尼勒克	伊犁哈萨克自治州
尼木	拉萨市
屏山	宜宾市
屏边	红河哈尼族彝族自治州
山丹	张掖市
山坡东	咸宁市
山城镇	通化市
山市	牡丹江市
山河屯	哈尔滨市
山海关	秦皇岛市
山阴	朔州市
岐山	宝鸡市
岑溪	梧州市
岔江	黔西南布依族苗族自治州
岚县	吕梁市
岚山西	日照市
岢岚	忻州市
岩会	阳泉市
岱岳	朔州市
岳家井	阿拉善盟
岳池	广安市
岳阳	岳阳市
岳阳东	岳阳市
岷县	定西市
峡江	吉安市
峨眉	乐山市
峨眉山	乐山市
峨边	乐山市
峻德	鹤岗市
崇仁	抚州市
崇州	成都市
崇左	崇左市
崔黄口	天津市
崖州	三亚市
嵩明	昆明市
嵯岗	呼伦贝尔市
巢湖	合肥市
巢湖东	合肥市
工农湖	松原市
左岭	武汉市
巨宝	松原市
巨野	菏泽市
巩义	郑州市
巩义南	郑州市
巴东	恩施土家族苗族自治州
巴中	巴中市
巴中东	巴中市
巴山	汉中市
巴彦高勒	巴彦淖尔市
巴林	呼伦贝尔市
巴楚	喀什地区
布列开	伊犁哈萨克自治州
布海	长春市
师宗	曲靖市
师庄	攀枝花市
带岭	伊春市
常山	衢州市
常州	常州市
常州北	常州市
常平	东莞市
常平东	东莞市
常平南	东莞市
常庄	济南市
常德	常德市
帽儿山	哈尔滨市
帽儿山西	哈尔滨市
干塘	中卫市
干沟	通化市
平关	六盘水市
平凉	平凉市
平凉南	平凉市
平南南	贵港市
平原	德州市
平原东	德州市
平原堡	张掖市
平台	白城市
平坝南	安顺市
平型关	大同市
平安	吉林市
平安镇	白城市
平安驿	海东市
平山	哈尔滨市
平岗	辽源市
平峪	北京市
平庄	赤峰市
平庄南	赤峰市
平度	青岛市
平房	哈尔滨市
平旺	大同市
平昌	巴中市
平果	百色市
平河口	曲靖市
平泉	承德市
平泉北	承德市
平洋	齐齐哈尔市
平湖	深圳市
平田	六盘水市
平社	忻州市
平遥	晋中市
平遥古城	晋中市
平邑	临沂市
平阳	温州市
平顶山	平顶山市
平顶山西	平顶山市
广元	广元市
广元南	广元市
广南卫	昆明市
广南县	文山壮族苗族自治州
广宁	肇庆市
广宁寺	大连市
广宁寺南	大连市
广安	广安市
广安南	广安市
广州	广州市
广州东	广州市
广州北	广州市
广州南	广州市
广州西	广州市
广德	宣城市
广水	随州市
广汉	德阳市
广汉北	德阳市
广通北	楚雄彝族自治州
庄桥	宁波市
庄河北	大连市
庆丰	松原市
庆安	绥化市
庆盛	广州市
庆阳山	阿拉善盟
庐山	九江市
庐江	合肥市
库伦	通辽市
库尔勒	巴音郭楞蒙古自治州
库车	阿克苏地区
库都尔	呼伦贝尔市
应县	朔州市
应城	孝感市
庙城	北京市
庙山	武汉市
庙岭	延边朝鲜族自治州
庙庄	平凉市
康城	邯郸市
康庄	北京市
康熙岭	钦州市
康金井	哈尔滨市
廉江	湛江市
廊坊	廊坊市
廊坊北	廊坊市
延吉	延边朝鲜族自治州
延吉西	延边朝鲜族自治州
延安	延安市
延平西	南平市
延庆	北京市
建三江	佳木斯市
建始	恩施土家族苗族自治州
建宁县北	三明市
建安	辽源市
建德	杭州市
建昌	葫芦岛市
建水	红河哈尼族彝族自治州
建湖	盐城市
建瓯	南平市
建瓯西	南平市
建设	白城市
建阳	南平市
开化	衢州市
开原	铁岭市
开原西	铁岭市
开安	长春市
开封	开封市
开封北	开封市
开平南	江门市
开江	达州市
开福寺	长沙市
开阳	贵阳市
开鲁	通辽市
弋江	芜湖市
弋阳	上饶市
弓棚子	松原市
张兰	晋中市
张家口	张家口市
张家口南	张家口市
张家川	天水市
张家界	张家界市
张掖	张掖市
张掖西	张掖市
张桥	渭南市
张百湾	承德市
张维屯	绥化市
张辛	北京市
弥勒	红河哈尼族彝族自治州
弥渡	大理白族自治州
归流河	兴安盟
当涂东	马鞍山市
当阳	宜昌市
彝良	昭通市
彬州	咸阳市
彭山	眉山市
彭山北	眉山市
彭州	成都市
彭州南	成都市
彭水	重庆市
彭泽	九江市
彭阳	固原市
彰武	阜新市
徐家	哈尔滨市
徐家店	烟台市
徐州	徐州市
徐州东	徐州市
徐水	保定市
徐闻	湛江市
得耳布尔	呼伦贝尔市
得莫利	哈尔滨市
徘徊北	邯郸市
微子镇	长治市
德令哈	海西蒙古族藏族自治州
德伯斯	兴安盟
德保	百色市
德兴	上饶市
德兴东	上饶市
德安	九江市
德州	德州市
德州东	德州市
德惠	长春市
德惠西	长春市
德昌	凉山彝族自治州
德清	湖州市
德清西	湖州市
德阳	德阳市
徽县	陇南市
忻州	忻州市
忻州西	忻州市
怀仁	朔州市
怀仁东	朔州市
怀化	怀化市
怀化南	怀化市
怀柔	北京市
怀柔北	北京市
怀集	肇庆市
恩平	江门市
恩施	恩施土家族苗族自治州
恭城	桂林市
息县	信阳市
息烽	贵阳市
悬钟	邯郸市
惠东	惠州市
惠农	石嘴山市
惠安	泉州市
惠山	无锡市
惠州	惠州市
惠州南	惠州市
惠州西	惠州市
惠环	惠州市
慈利	张家界市
成吉思汗	呼伦贝尔市
成都	成都市
成都东	成都市
成都南	成都市
成都西	成都市
成高子	哈尔滨市
戚墅堰	常州市
扎兰屯	呼伦贝尔市
扎赉诺尔西	呼伦贝尔市
扎鲁特	通辽市
打柴沟	武威市
托克托东	呼和浩特市
扬州	扬州市
扶余	松原市
扶余北	松原市
扶绥	崇左市
承德	承德市
承德东	承德市
承德南	承德市
承德县北	承德市
抚宁	秦皇岛市
抚州	抚州市
抚州东	抚州市
抚州北	抚州市
抚松	白山市
抚远	佳木斯市
抚顺	抚顺市
抚顺北	抚顺市
拉古	牡丹江市
拉哈	齐齐哈尔市
拉林	哈尔滨市
拉萨	拉萨市
拉鲊	攀枝花市
招柏	大同市
换新天	佳木斯市
揭阳	揭阳市
攀枝花	攀枝花市
攸县	株洲市
攸县南	株洲市
敖力布告	通辽市
敖汉	赤峰市
敦化	延边朝鲜族自治州
敦煌	酒泉市
文地	玉林市
文安	廊坊市
文昌	海南省-自治区直辖县级行政区划
文水	吕梁市
文登	威海市
文登东	威海市
斜河涧	北京市
新乐	石家庄市
新乡	新乡市
新乡东	新乡市
新会	江门市
新余	新余市
新余北	新余市
新保安	张家口市
新兴县	云浮市
新化	娄底市
新化南	娄底市
新华	鹤岗市
新华屯	大庆市
新县	信阳市
新友谊	双鸭山市
新和	阿克苏地区
新坪田	黔西南布依族苗族自治州
新城子	沈阳市
新安	曲靖市
新安县	洛阳市
新帐房	呼伦贝尔市
新干	吉安市
新晃	怀化市
新晃西	怀化市
新李	平凉市
新杖子	承德市
新松浦	哈尔滨市
新林	大兴安岭地区
新民	沈阳市
新民北	沈阳市
新江	攀枝花市
新沂	徐州市
新津	成都市
新津南	成都市
新窝铺	赤峰市
新立屯	锦州市
新立镇	长春市
新绛	运城市
新绰源	呼伦贝尔市
新肇	大庆市
新邱	阜新市
新郑机场	郑州市
新都东	成都市
新阳镇	天水市
新青	伊春市
新香坊北	哈尔滨市
方正	哈尔滨市
施家嘴	昆明市
施秉	黔东南苗族侗族自治州
旅顺	大连市
旌德	宣城市
旗下营	乌兰察布市
旗下营南	乌兰察布市
无为	芜湖市
无为南	芜湖市
无锡	无锡市
无锡东	无锡市
无锡新区	无锡市
日喀则	日喀则市
日照	日照市
日照西	日照市
旧庄窝	张家口市
旬阳	安康市
旬阳北	安康市
旺苍	广元市
昂昂溪	齐齐哈尔市
昆山	苏州市
昆山南	苏州市
昆明	昆明市
昆明南	昆明市
昆明西	昆明市
昆玉	新疆维吾尔自治区-自治区直辖县级行政区划
昆都仑召	包头市
昆阳	昆明市
昌乐	潍坊市
昌图	铁岭市
昌图西	铁岭市
昌平	北京市
昌平北	北京市
昌黎	秦皇岛市
明光	滁州市
明城	吉林市
明水河	兴安盟
明港	信阳市
明港东	信阳市
明珠	珠海市
春湾	阳江市
春阳	延边朝鲜族自治州
昭化	广元市
昭山	湘潭市
昭通	昭通市
晋中	晋中市
晋城	晋城市
晋城北	晋城市
晋州	石家庄市
晋江	泉州市
晏城	德州市
晨明	伊春市
普兰店	大连市
普宁	揭阳市
普安	武汉市
普安县	黔西南布依族苗族自治州
普定	安顺市
