trainNumber	stopOrder	station	arrivalTime	departureTime
D12	7	北京	19980	0
D13	0	北京	0	0
D13	1	唐山北	4140	4200
D13	2	秦皇岛	8340	8520
D13	3	锦州南	12840	12960
D13	4	沈阳北	18300	0
D14	0	沈阳北	0	0
D14	1	台安	2340	2400
D14	2	锦州南	4860	4980
D14	3	山海关	8220	8820
D14	4	秦皇岛	9840	9960
D14	5	北京	18600	0
D17	0	北京	0	0
D17	1	唐山北	4140	4200
D17	2	北戴河	7500	7560
D17	3	葫芦岛北	11820	11880
D17	4	盘锦北	14160	14220
D17	5	辽中	16020	16080
D17	6	沈阳	18120	18420
D17	7	沈阳南	19080	0
D18	0	沈阳南	0	0
D18	1	沈阳	660	960
D18	2	锦州南	5760	5820
D18	3	葫芦岛北	6840	6900
D18	4	山海关	9360	9540
D18	5	秦皇岛	10560	10680
D18	6	唐山北	14760	14880
D18	7	北京	19260	0
D19	0	北京	0	0
D19	1	唐山北	4140	4200
D19	2	北戴河	7500	7560
D19	3	葫芦岛北	11880	12000
D19	4	盘锦北	14340	14400
D19	5	沈阳北	17760	17940
D19	6	公主岭南	21720	21780
D19	7	长春	23220	0
D20	0	长春	0	0
D20	1	昌图西	3060	3540
D20	2	铁岭西	4920	5460
D20	3	沈阳北	6660	6840
D20	4	绥中北	13440	13500
D20	5	北京	23940	0
D21	0	北京	0	0
D21	1	北戴河	7260	7380
D21	2	秦皇岛	8400	8520
D21	3	山海关	9600	9780
D21	4	绥中北	11220	11280
D21	5	葫芦岛北	12600	12660
D21	6	锦州南	13680	13800
D21	7	台安	16260	17100
D21	8	沈阳北	19560	19740
D21	9	铁岭西	20940	21900
D21	10	四平东	24060	24180
D21	11	公主岭南	25140	25260
D21	12	长春	26760	26940
D21	13	吉林	29340	29580
D21	14	蛟河西	31140	31260
D21	15	敦化	33180	33300
D21	16	安图西	34680	34800
D21	17	延吉西	36000	36180
D21	18	图们北	37080	37200
D21	19	珲春	38580	0
D22	0	珲春	0	0
D22	1	图们北	1380	1440
D22	2	延吉西	2340	2520
D22	3	安图西	3720	3780
D22	4	敦化	5160	5280
D22	5	蛟河西	7200	7320
D22	6	吉林	8880	9060
D22	7	长春	11520	11760
D22	8	四平东	14040	14160
D22	9	开原西	15600	15660
D22	10	沈阳北	17520	17700
D22	11	盘锦北	21060	21120
D22	12	山海关	25680	25860
D22	13	秦皇岛	26880	27060
D22	14	北戴河	27960	28080
D22	15	唐山北	31440	31560
D22	16	北京	35880	0
D23	0	北京	0	0
D23	1	唐山北	4140	4260
D23	2	盘锦北	14520	14580
D23	3	沈阳北	18000	18180
D23	4	四平东	21240	22020
D23	5	长春西	23820	0
D24	0	长春西	0	0
D24	1	四平东	1860	1980
D24	2	昌图西	2940	3060
D24	3	铁岭西	4440	4560
D24	4	沈阳北	5760	5940
D24	5	东戴河	13560	13620
D24	6	唐山北	18900	19020
D24	7	北京	23280	0
D25	0	北京	0	0
D25	1	唐山北	4140	4260
D25	2	北戴河	7560	7680
D25	3	山海关	9600	9660
D25	4	葫芦岛北	12180	12240
D25	5	锦州南	13260	13320
D25	6	盘锦北	14820	14880
D25	7	辽中	16620	17280
D25	8	沈阳北	19260	19440
D25	9	四平东	22500	23280
D25	10	长春西	25080	25200
D25	11	扶余北	27660	28200
D25	12	哈尔滨西	29880	30360
D25	13	宾州	32520	32580
D25	14	方正	34800	34860
D25	15	高楞	35820	35880
D25	16	依兰	36900	37020
D25	17	佳木斯	39060	0
D26	0	佳木斯	0	0
D26	1	依兰	1980	2100
D26	2	高楞	3120	3240
D26	3	方正	4260	4380
D26	4	宾州	6600	6720
D26	5	哈尔滨西	8940	9240
D26	6	德惠西	11940	12060
D26	7	公主岭南	14460	14520
D26	8	开原西	16740	16800
D26	9	沈阳北	18660	18840
D26	10	盘锦北	22140	22200
D26	11	锦州南	23700	24120
D26	12	秦皇岛	28320	28440
D26	13	北京	36660	0
D27	0	北京	0	0
D27	1	北戴河	7380	7500
D27	2	秦皇岛	8580	8760
D27	3	山海关	9840	9960
D27	4	葫芦岛北	12960	13020
D27	5	沈阳北	18660	18840
D27	6	哈尔滨西	27300	0
D28	0	哈尔滨西	0	0
D28	1	长春西	3960	4080
D28	2	开原西	7140	8280
D28	3	沈阳北	10200	10440
D28	4	台安	12780	12840
D28	5	葫芦岛北	16200	16620
D28	6	北戴河	20940	21180
D28	7	北京	28500	0
D29	0	北京	0	0
D29	1	秦皇岛	8100	8220
D29	2	东戴河	9600	9660
D29	3	葫芦岛北	12000	12060
D29	4	锦州南	13080	13200
D29	5	盘锦北	14760	14880
D29	6	沈阳北	18720	18900
D29	7	四平东	22020	22140
D29	8	长春西	23940	24060
D29	9	德惠西	25620	26580
D29	10	哈尔滨西	29280	29580
D29	11	哈尔滨	30180	30300
D29	12	肇东	31620	31740
D29	13	安达	32940	33000
D29	14	大庆东	33540	33660
D29	15	齐齐哈尔南	35880	0
D30	0	齐齐哈尔南	0	0
D30	1	大庆东	2220	2340
D30	2	安达	2880	3000
D30	3	肇东	4200	4320
D30	4	哈尔滨	5640	5940
D30	5	哈尔滨西	6540	6780
D30	6	扶余北	8520	8640
D30	7	长春西	11040	11160
D30	8	铁岭西	14880	15000
D30	9	沈阳北	16200	16380
D30	10	锦州南	20940	21060
D30	11	山海关	24360	24480
D30	12	北京	33480	0
D31/D34	0	大连北	0	0
D31/D34	1	瓦房店西	1620	1680
D31/D34	2	营口东	3780	3900
D31/D34	3	盘锦	5640	5700
D31/D34	4	锦州南	7800	7860
D31/D34	5	山海关	11220	11460
D31/D34	6	秦皇岛	12420	12540
D31/D34	7	北京	21060	0
D32/D33	0	北京	0	0
D32/D33	1	北戴河	7320	7500
D32/D33	2	秦皇岛	8580	8820
D32/D33	3	山海关	10080	10260
D32/D33	4	绥中北	11760	12180
D32/D33	5	盘锦	16440	16560
D32/D33	6	营口东	18240	18300
D32/D33	7	鲅鱼圈	19440	19560
D32/D33	8	大连北	22200	0
D35/D38	0	大连北	0	0
D35/D38	1	普湾	1080	1200
D35/D38	2	盖州西	3480	3960
D35/D38	3	营口东	4620	5040
D35/D38	4	盘锦	6720	6840
D35/D38	5	葫芦岛北	9780	9900
D35/D38	6	山海关	12480	12720
D35/D38	7	秦皇岛	13920	14400
D35/D38	8	北京	22560	0
D36/D37	0	北京	0	0
D36/D37	1	唐山北	4140	4200
D36/D37	2	秦皇岛	8460	8580
D36/D37	3	山海关	9780	10380
D36/D37	4	葫芦岛北	12900	12960
D36/D37	5	锦州南	13980	14040
D36/D37	6	盘锦	16140	16200
D36/D37	7	鲅鱼圈	18900	18960
D36/D37	8	瓦房店西	20160	21000
D36/D37	9	大连北	22680	0
D39/D42	0	大连北	0	0
D39/D42	1	鲅鱼圈	2580	3720
D39/D42	2	盘锦	6360	6780
D39/D42	3	山海关	12180	12420
D39/D42	4	秦皇岛	13440	13560
D39/D42	5	北京	21780	0
D40/D41	0	北京	0	0
D40/D41	1	蓟州	2520	2640
D40/D41	2	秦皇岛	8400	8520
D40/D41	3	山海关	9600	9780
D40/D41	4	绥中北	11280	11340
D40/D41	5	锦州南	13440	13500
D40/D41	6	盘锦	15660	15840
D40/D41	7	营口东	17580	17700
D40/D41	8	盖州西	18360	18480
D40/D41	9	普湾	20700	20760
D40/D41	10	大连北	21900	0
D43/D46	0	大连北	0	0
D43/D46	1	普湾	1140	1260
D43/D46	2	瓦房店西	2100	3120
D43/D46	3	鲅鱼圈	4500	4560
D43/D46	4	盖州西	5220	5340
D43/D46	5	营口东	6060	6180
D43/D46	6	盘锦	8040	8160
D43/D46	7	锦州南	10260	10380
D43/D46	8	绥中北	12480	12540
D43/D46	9	山海关	13920	14160
D43/D46	10	秦皇岛	15180	15300
D43/D46	11	北戴河	16200	16260
D43/D46	12	北京	23760	0
D44/D45	0	北京	0	0
D44/D45	1	唐山北	4200	4320
D44/D45	2	滦县	5880	6000
D44/D45	3	北戴河	7920	8040
D44/D45	4	秦皇岛	9060	9180
D44/D45	5	山海关	10260	10680
D44/D45	6	葫芦岛北	13200	13260
D44/D45	7	盘锦	16200	16320
D44/D45	8	鲅鱼圈	18900	19020
D44/D45	9	瓦房店西	20280	20760
D44/D45	10	大连北	22380	0
D48/D49	0	北京	0	0
D48/D49	1	秦皇岛	8160	8280
D48/D49	2	葫芦岛北	11760	11820
D48/D49	3	锦州南	12840	13620
D48/D49	4	鞍山西	17400	17520
D48/D49	5	辽阳	18180	18300
D48/D49	6	沈阳	19800	20040
D48/D49	7	通辽	24960	0
D50	0	通辽	0	0
D50	1	沈阳	4860	5100
D50	2	鞍山西	7020	7080
D50	3	盘锦	9000	9120
D50	4	北戴河	16020	16140
D50	5	北京	23460	0
D51	0	北京	0	0
D51	1	唐山北	4260	4320
D51	2	滦县	5940	6000
D51	3	秦皇岛	8820	8940
D51	4	山海关	10260	10500
D51	5	葫芦岛北	13020	13080
D51	6	锦州南	14280	14340
D51	7	盘锦	16740	16860
D51	8	海城西	18300	18420
D51	9	鞍山西	19140	19260
D51	10	辽阳	19980	20100
D51	11	沈阳北	21840	0
D52	0	沈阳北	0	0
D52	1	辽阳	1740	2340
D52	2	鞍山西	3060	3180
D52	3	海城西	3900	3960
D52	4	盘锦	5400	5460
D52	5	山海关	11040	11220
D52	6	秦皇岛	12420	12540
D52	7	滦县	15300	15420
D52	8	北京	21300	0
D55	0	兰州	0	0
D55	1	西宁	8280	8940
D55	2	张掖西	15720	16020
D55	3	酒泉南	19980	20100
D55	4	嘉峪关南	20820	21180
D55	5	玉门	24420	24840
D55	6	柳园南	28440	28500
D55	7	哈密	33660	34020
D55	8	吐哈	37980	38040
D55	9	鄯善北	38820	38880
D55	10	吐鲁番北	40500	40560
D55	11	乌鲁木齐	43800	0
D56	0	乌鲁木齐	0	0
D56	1	吐鲁番北	3300	3360
D56	2	哈密	9120	9180
D56	3	柳园南	14340	14400
D56	4	玉门	17820	18420
D56	5	嘉峪关南	21660	22080
D56	6	张掖西	26400	26520
D56	7	民乐	28140	28260
D56	8	西宁	33360	33840
D56	9	乐都	36060	36180
D56	10	海石湾	37800	38220
D56	11	兰州	43020	0
D73	0	北京	0	0
D73	1	北戴河	7260	7320
D73	2	山海关	9240	9420
D73	3	锦州南	12780	12840
D73	4	沈阳北	17520	17700
D73	5	四平东	20760	20820
D73	6	长春	22980	23160
D73	7	吉林	25560	0
D74	0	吉林	0	0
D74	1	长春	2400	2580
D74	2	四平东	4860	4980
D74	3	铁岭西	7080	7680
D74	4	沈阳北	8880	9120
D74	5	盘锦北	12600	12660
D74	6	葫芦岛北	14940	15000
D74	7	山海关	17520	17700
D74	8	北京	26820	0
D101	0	北京	0	0
D101	1	滦县	5640	5760
D101	2	秦皇岛	8580	8700
D101	3	山海关	9780	9900
D101	4	东戴河	10380	10440
D101	5	锦州南	13560	13620
D101	6	沈阳北	18180	18300
D101	7	开原西	20220	20340
D101	8	昌图西	21000	21120
D101	9	长春西	23700	23820
D101	10	德惠西	25380	25440
D101	11	哈尔滨西	28080	0
D102	0	哈尔滨西	0	0
D102	1	扶余北	1740	1860
D102	2	德惠西	3000	3120
D102	3	长春西	4620	4740
D102	4	铁岭西	8460	8880
D102	5	沈阳北	10140	10320
D102	6	锦州南	14880	14940
D102	7	东戴河	18000	18060
D102	8	唐山北	23460	23580
D102	9	北京	27960	0
D111/D114	0	珲春	0	0
D111/D114	1	图们北	1320	1440
D111/D114	2	延吉西	2400	2580
D111/D114	3	安图西	3720	3840
D111/D114	4	敦化	5220	5340
D111/D114	5	蛟河西	7260	7380
D111/D114	6	吉林	9000	9240
D111/D114	7	长春	11640	11880
D111/D114	8	扶余北	14520	15120
D111/D114	9	哈尔滨西	16860	17220
D111/D114	10	哈尔滨	17820	17940
D111/D114	11	哈尔滨北	18480	18540
D111/D114	12	肇东	19560	19680
D111/D114	13	大庆西	21540	21660
D111/D114	14	齐齐哈尔南	23520	0
D112/D113	0	齐齐哈尔南	0	0
D112/D113	1	大庆西	1860	1980
D112/D113	2	肇东	3840	3900
D112/D113	3	哈尔滨	5220	5340
D112/D113	4	哈尔滨西	5940	6180
D112/D113	5	扶余北	7920	7980
D112/D113	6	德惠西	9120	9240
D112/D113	7	长春	10980	11160
D112/D113	8	吉林	13560	13800
D112/D113	9	蛟河西	15360	15480
D112/D113	10	敦化	17400	17520
D112/D113	11	安图西	18960	19080
D112/D113	12	延吉西	20220	20400
D112/D113	13	图们北	21300	21420
D112/D113	14	珲春	22800	0
D115/D118	0	延吉西	0	0
D115/D118	1	安图西	1140	1260
D115/D118	2	敦化	2640	2760
D115/D118	3	蛟河西	4680	4800
D115/D118	4	吉林	6420	6660
D115/D118	5	长春	9060	9240
D115/D118	6	德惠西	10920	11040
D115/D118	7	双城北	13200	13320
D115/D118	8	哈尔滨西	14280	0
D116/D117	0	哈尔滨西	0	0
D116/D117	1	扶余北	1740	2460
D116/D117	2	德惠西	3600	3720
D116/D117	3	长春	5340	5520
D116/D117	4	吉林	7920	8100
D116/D117	5	蛟河西	9720	9840
D116/D117	6	敦化	11760	11880
D116/D117	7	安图西	13260	13380
D116/D117	8	延吉西	14520	0
D119	0	长春西	0	0
D119	1	哈尔滨西	3900	4140
D119	2	海林北	9360	9480
D119	3	牡丹江	10140	0
D120	0	牡丹江	0	0
D120	1	横道河子东	1080	1200
D120	2	哈尔滨西	6000	6360
D120	3	扶余北	8100	8220
D120	4	长春	10740	0
D121	0	长春	0	0
D121	1	扶余北	2580	2640
D121	2	哈尔滨西	4380	4620
D121	3	宾州	6780	6900
D121	4	胜利镇	7920	7980
D121	5	方正	9420	9540
D121	6	依兰	11280	11400
D121	7	佳木斯	13440	0
D122	0	佳木斯	0	0
D122	1	依兰	1980	2100
D122	2	方正	3900	4020
D122	3	胜利镇	5460	5520
D122	4	宾州	6540	6600
D122	5	哈尔滨西	8760	9000
D122	6	长春西	13020	0
D123/D126	0	吉林	0	0
D123/D126	1	双吉	660	720
D123/D126	2	长春	2700	2880
D123/D126	3	德惠西	4560	4680
D123/D126	4	扶余北	5700	5820
D123/D126	5	双城北	6840	6960
D123/D126	6	哈尔滨西	7920	0
D124/D125	0	哈尔滨西	0	0
D124/D125	1	扶余北	1800	1920
D124/D125	2	德惠西	3000	3120
D124/D125	3	长春	4800	4980
D124/D125	4	吉林	7380	0
D127/D130	0	吉林	0	0
D127/D130	1	长春	2400	2580
D127/D130	2	德惠西	4260	4320
D127/D130	3	扶余北	5460	5520
D127/D130	4	双城北	6600	6720
D127/D130	5	哈尔滨西	7680	8160
D127/D130	6	安达	10740	10860
D127/D130	7	大庆西	11820	11940
D127/D130	8	杜尔伯特	12780	12900
D127/D130	9	齐齐哈尔南	14160	0
D128/D129	0	齐齐哈尔南	0	0
D128/D129	1	杜尔伯特	1260	1380
D128/D129	2	大庆西	2220	2340
D128/D129	3	安达	3240	3360
D128/D129	4	哈尔滨	5640	5820
D128/D129	5	哈尔滨西	6420	6960
D128/D129	6	双城北	7920	8040
D128/D129	7	扶余北	9060	9180
D128/D129	8	德惠西	10320	10440
D128/D129	9	长春	12060	12240
D128/D129	10	吉林	14640	0
D131/D134	0	吉林	0	0
D131/D134	1	长春	2400	2580
D131/D134	2	德惠西	4260	4380
D131/D134	3	哈尔滨西	7020	7320
D131/D134	4	哈尔滨	7920	8040
D131/D134	5	佳木斯	15120	0
D132/D133	0	哈尔滨西	0	0
D132/D133	1	德惠西	2700	2820
D132/D133	2	长春	4560	4800
D132/D133	3	吉林	7200	0
D135/D138	0	吉林	0	0
D135/D138	1	长春	2400	2640
D135/D138	2	扶余北	5220	5700
D135/D138	3	哈尔滨西	7500	7740
D135/D138	4	哈尔滨	8340	8460
D135/D138	5	尚志南	11220	11280
D135/D138	6	一面坡北	11760	11880
D135/D138	7	亚布力西	12840	12960
D135/D138	8	海林北	14280	14400
D135/D138	9	牡丹江	15120	0
D136/D137	0	牡丹江	0	0
D136/D137	1	横道河子东	1080	1200
D136/D137	2	亚布力西	2160	2280
D136/D137	3	一面坡北	3180	3300
D136/D137	4	尚志南	3840	3960
D136/D137	5	哈尔滨	6720	6840
D136/D137	6	哈尔滨西	7440	7740
D136/D137	7	德惠西	10500	10620
D136/D137	8	长春	12300	12480
D136/D137	9	吉林	14880	0
D201	0	南宁东	0	0
D201	1	广州南	9900	0
D202	0	广州南	0	0
D202	1	南宁东	9900	0
D203	0	南宁东	0	0
D203	1	广州南	10080	0
D204	0	广州南	0	0
D204	1	南宁东	9960	0
D205	0	南宁东	0	0
D205	1	广州南	9960	0
D206	0	广州南	0	0
D206	1	南宁东	9960	0
D207	0	南宁东	0	0
D207	1	广州南	9960	0
D208	0	广州南	0	0
D208	1	南宁东	9960	0
D211	0	贵阳北	0	0
D211	1	广州南	15000	0
D212	0	广州南	0	0
D212	1	贵阳北	15240	0
D213	0	贵阳北	0	0
D213	1	广州南	15240	0
D214	0	广州南	0	0
D214	1	贵阳北	15420	0
D295/D298	0	郑州	0	0
D295/D298	1	许昌东	2220	2340
D295/D298	2	漯河西	3360	3480
D295/D298	3	驻马店西	4680	4800
D295/D298	4	信阳东	6540	6660
D295/D298	5	孝感北	7860	7980
D295/D298	6	汉口	10500	12120
D295/D298	7	武汉	13560	13800
D295/D298	8	葛店南	14760	14880
D295/D298	9	鄂州	15480	15600
D295/D298	10	黄石北	16320	16440
D295/D298	11	阳新	17520	17640
D295/D298	12	庐山	19260	19380
D295/D298	13	永修	20940	21060
D295/D298	14	南昌西	22260	22620
D295/D298	15	抚州	24840	24960
D295/D298	16	南城	26160	26280
D295/D298	17	南丰	27060	27240
D295/D298	18	泰宁	28980	29100
D295/D298	19	三明北	31080	31200
D295/D298	20	尤溪	32280	32460
D295/D298	21	永泰	34500	34620
D295/D298	22	福州	36120	0
D296	0	福州	0	0
D296	1	尤溪	3240	3360
D296	2	三明北	4500	4860
D296	3	泰宁	6840	6960
D296	4	南丰	8640	8760
D296	5	南城	9600	9720
D296	6	抚州	10860	11160
D296	7	南昌西	13560	13800
D296	8	永修	15000	15120
D296	9	德安	16020	16140
D296	10	庐山	17040	17160
D296	11	瑞昌西	17940	18120
D296	12	阳新	19320	19440
D296	13	鄂州	21240	21360
D296	14	葛店南	22080	22380
D296	15	武汉	23580	24060
D296	16	汉口	25260	26700
D296	17	孝感北	31080	31200
D296	18	漯河西	34800	34920
D296	19	许昌东	36000	36120
D296	20	郑州	38040	0
D305/D308	0	西安北	0	0
D305/D308	1	渭南北	1260	1380
D305/D308	2	华山北	2520	2940
D305/D308	3	三门峡南	4860	5640
D305/D308	4	洛阳龙门	7860	7980
D305/D308	5	郑州东	11100	11400
D305/D308	6	徐州	17700	18240
D305/D308	7	南京	28320	28680
D305/D308	8	常州	32400	32520
D305/D308	9	无锡	33720	33840
D305/D308	10	苏州	35220	35340
D305/D308	11	上海	38700	0
D306/D307	0	上海	0	0
D306/D307	1	苏州	2640	2820
D306/D307	2	无锡	4140	4260
D306/D307	3	常州	5520	5700
D306/D307	4	南京	10500	11100
D306/D307	5	徐州	23280	23880
D306/D307	6	郑州东	30360	30720
D306/D307	7	洛阳龙门	33300	33420
D306/D307	8	三门峡南	35640	35760
D306/D307	9	华山北	37680	37800
D306/D307	10	渭南北	38940	39060
D306/D307	11	西安北	40380	0
D335	0	北京	0	0
D335	1	大明湖	15660	16020
D335	2	淄博	19320	19680
D335	3	潍坊	22980	23280
D335	4	青岛北	28500	0
D336	0	青岛北	0	0
D336	1	潍坊	4140	4440
D336	2	淄博	7740	7920
D336	3	大明湖	11760	12840
D336	4	天津西	26340	26460
D336	5	北京	31380	0
D351/D354	0	成都东	0	0
D351/D354	1	合川	5880	6000
D351/D354	2	重庆北	7500	7860
D351/D354	3	涪陵北	10140	10260
D351/D354	4	石柱县	12360	12480
D351/D354	5	利川	14700	14820
D351/D354	6	恩施	16740	16980
D351/D354	7	宜昌东	23040	23700
D351/D354	8	荆州	25740	25860
D351/D354	9	潜江	27360	27480
D351/D354	10	汉口	30780	32040
D351/D354	11	六安	36900	37020
D351/D354	12	合肥南	38460	39240
D351/D354	13	全椒	41340	41760
D351/D354	14	南京南	43080	43260
D351/D354	15	镇江	44940	45060
D351/D354	16	常州	46500	46680
D351/D354	17	无锡	47580	47700
D351/D354	18	苏州	48660	48780
D351/D354	19	昆山南	49560	49680
D351/D354	20	上海虹桥	50820	0
D352/D353	0	上海虹桥	0	0
D352/D353	1	昆山南	1140	1260
D352/D353	2	苏州	2040	2160
D352/D353	3	无锡	3060	3180
D352/D353	4	常州	4080	4200
D352/D353	5	丹阳	5160	5280
D352/D353	6	镇江	6000	6120
D352/D353	7	南京南	7920	8220
D352/D353	8	合肥南	11400	11700
D352/D353	9	汉口	18660	19080
D352/D353	10	荆州	23580	23700
D352/D353	11	宜昌东	25740	26040
D352/D353	12	巴东	29280	29400
D352/D353	13	恩施	32640	33060
D352/D353	14	利川	35160	35340
D352/D353	15	石柱县	37740	37860
D352/D353	16	涪陵北	39900	40020
D352/D353	17	重庆北	42420	43080
D352/D353	18	潼南	45780	45900
D352/D353	19	遂宁	47580	47700
D352/D353	20	成都东	51060	0
D361	0	汉口	0	0
D361	1	潜江	3060	3180
D361	2	宜昌东	6780	7200
D361	3	恩施	13440	13860
D361	4	利川	15960	16140
D361	5	石柱县	18540	18660
D361	6	涪陵北	20700	21660
D361	7	重庆北	24060	24660
D361	8	合川	26160	26280
D361	9	潼南	27780	27900
D361	10	遂宁	29700	30000
D361	11	成都东	33420	0
D362	0	成都东	0	0
D362	1	重庆北	6900	7140
D362	2	涪陵北	9420	9540
D362	3	恩施	15360	15720
D362	4	宜昌东	21660	21900
D362	5	荆州	23940	24060
D362	6	汉口	28500	0
D365/D368	0	成都东	0	0
D365/D368	1	潼南	4440	4620
D365/D368	2	合川	6120	6240
D365/D368	3	重庆北	7740	8340
D365/D368	4	涪陵北	10560	10680
D365/D368	5	丰都	11820	11940
D365/D368	6	恩施	16800	17100
D365/D368	7	宜昌东	23340	24240
D365/D368	8	荆州	26280	26400
D365/D368	9	潜江	27900	28020
D365/D368	10	天门南	29220	29340
D365/D368	11	汉口	31500	33000
D365/D368	12	武汉	34380	0
D366/D367	0	武汉	0	0
D366/D367	1	汉口	1080	1380
D366/D367	2	天门南	3480	3600
D366/D367	3	仙桃西	4380	4500
D366/D367	4	荆州	6480	6600
D366/D367	5	宜昌东	8640	8940
D366/D367	6	巴东	12180	12300
D366/D367	7	建始	14400	14520
D366/D367	8	恩施	15900	16260
D366/D367	9	利川	18360	18540
D366/D367	10	丰都	21840	22020
D366/D367	11	涪陵北	23160	23280
D366/D367	12	长寿北	24000	24120
D366/D367	13	重庆北	25980	26280
D366/D367	14	合川	27780	27900
D366/D367	15	大英东	31260	31440
D366/D367	16	成都东	34200	0
D377	0	上海虹桥	0	0
D377	1	嘉善南	1440	2520
D377	2	嘉兴南	3060	3360
D377	3	杭州东	4860	4980
D377	4	绍兴北	6120	6240
D377	5	余姚北	7380	7560
D377	6	宁波	8820	9060
D377	7	台州	12300	12420
D377	8	雁荡山	13500	13620
D377	9	乐清	14640	14760
D377	10	温州南	15660	15780
D377	11	平阳	16740	16860
D377	12	福鼎	18240	18360
D377	13	太姥山	18900	19020
D377	14	福州南	22980	23220
D377	15	莆田	25020	25140
D377	16	泉州	26640	26760
D377	17	厦门北	28320	28980
D377	18	漳州	30120	30240
D377	19	云霄	31920	32040
D377	20	潮汕	34020	34200
D377	21	普宁	35460	35580
D377	22	陆丰	37020	37140
D377	23	深圳北	41580	0
D378	0	深圳北	0	0
D378	1	深圳坪山	1200	1320
D378	2	葵潭	4980	5100
D378	3	潮阳	6540	6660
D378	4	潮汕	7500	7980
D378	5	角美	11940	12060
D378	6	厦门北	13020	13260
D378	7	泉州	14760	14880
D378	8	莆田	16380	16500
D378	9	福清	17640	17760
D378	10	福州南	18660	19140
D378	11	连江	20340	20460
D378	12	宁德	21780	21900
D378	13	太姥山	23820	23940
D378	14	平阳	25620	25740
D378	15	温州南	26700	27180
D378	16	台州	29760	29880
D378	17	临海	30540	30660
D378	18	宁波	33540	34020
D378	19	庄桥	34560	34680
D378	20	余姚北	35580	35700
D378	21	绍兴东	36420	36540
D378	22	绍兴北	37200	37380
D378	23	杭州东	38580	38820
D378	24	嘉善南	40560	40680
D378	25	上海虹桥	42180	0
D381	0	上海虹桥	0	0
D381	1	金山北	1080	2040
D381	2	嘉兴南	2880	3000
D381	3	海宁西	3960	4080
D381	4	余杭	4500	4860
D381	5	杭州东	5460	5640
D381	6	绍兴北	6780	6900
D381	7	宁波	9180	9420
D381	8	宁海	11100	11220
D381	9	临海	12540	12660
D381	10	温岭	13800	13920
D381	11	绅坊	15000	15120
D381	12	温州南	16320	16500
D381	13	苍南	17940	18060
D381	14	霞浦	19980	20100
D381	15	罗源	21840	21960
D381	16	福州南	23820	25320
D381	17	福清	26160	26400
D381	18	莆田	27660	0
D382	0	福州南	0	0
D382	1	宁德	2220	2340
D382	2	霞浦	3660	3780
D382	3	福鼎	5100	5220
D382	4	温州南	7260	7440
D382	5	绅坊	8700	8820
D382	6	台州	10380	10560
D382	7	宁波	13800	14160
D382	8	余姚北	15360	15480
D382	9	绍兴东	16200	16320
D382	10	杭州东	17940	18060
D382	11	桐乡	19080	19200
D382	12	金山北	20460	21000
D382	13	上海虹桥	22140	0
D618/D619	0	武汉	0	0
D618/D619	1	汉口	1260	1740
D618/D619	2	天门南	3840	3960
D618/D619	3	潜江	5160	5280
D618/D619	4	荆州	6840	6960
D618/D619	5	枝江北	8040	8700
D618/D619	6	宜昌东	9900	10500
