trainNumber	trainType	originDepartureTime
D1977/D1980	D	51360
D1978/D1979	D	43380
D1982/D1983	D	46320
D1985/D1988	D	65040
D1986/D1987	D	53700
D1989/D1992	D	66720
D1990/D1991	D	64020
D2002	D	27600
D2003	D	47760
D2004	D	29400
D2005	D	55740
D2105	D	59640
D2106	D	42360
D2175/D2178	D	29400
D2176/D2177	D	49860
D2187/D2190	D	34560
D2188/D2189	D	54960
D2191/D2194	D	31980
D2192/D2193	D	58560
D2195/D2198	D	24300
D2196/D2197	D	45600
D2205/D2208	D	29640
D2206/D2207	D	25080
D2211/D2214	D	26040
D2212/D2213	D	24420
D2215/D2218	D	31080
D2216/D2217	D	31320
D2221/D2224	D	27300
D2222/D2223	D	27720
D2225/D2228	D	32160
D2226/D2227	D	31680
D2231/D2234	D	27780
D2232/D2233	D	27540
D2235/D2238	D	33060
D2236/D2237	D	31200
D2241/D2244	D	24180
D2242/D2243	D	24360
D2245/D2248	D	31740
D2246/D2247	D	36300
D2251	D	27720
D2252	D	55140
D2253/D2256	D	30300
D2254/D2255	D	26280
D2259	D	38160
D2260	D	37320
D2261/D2264	D	32700
D2262/D2263	D	31440
D2265	D	51720
D2266	D	25680
D2267/D2270	D	27120
D2268/D2269	D	31980
D2271	D	41520
D2272	D	30480
D2275/D2278	D	48120
D2276/D2277	D	29220
D2281	D	27960
D2284	D	31680
D2287	D	25320
D2288	D	38760
D2293	D	38280
D2294	D	28920
D2297	D	27360
D2298	D	53280
D2302	D	30180
D2303	D	36900
D2304	D	53580
D2305	D	45840
D2306	D	43380
D2307	D	53760
D2308	D	31080
D2309	D	56760
D2310	D	35280
D2311	D	28620
D2312	D	60240
D2313	D	28920
D2314	D	61920
D2315	D	25980
D2316	D	37680
D2317	D	52980
D2318	D	42540
D2319	D	57480
D2320	D	68580
D2322	D	47460
D2323	D	34560
D2324	D	50580
D2325	D	28440
D2326	D	59280
D2327	D	25800
D2328	D	55800
D2329	D	40860
D2330	D	61140
D2331	D	44700
D2332	D	66480
D2333	D	70200
D2334	D	37140
D2335	D	65820
D2336	D	55500
D2339	D	27300
D2340	D	58020
D2341	D	42540
D2342	D	28620
D2345	D	47040
D2346	D	31380
D2349	D	43740
D2350	D	27960
D2351	D	44280
D2352	D	26400
D2353	D	55740
D2354	D	49920
D2355	D	28740
D2356	D	51120
D2357	D	25980
D2358	D	46860
D2359	D	21600
D2360	D	67260
D2361	D	26340
D2362	D	47160
D2363	D	47820
D2364	D	33600
D2367	D	49380
D2368	D	33000
D2373	D	26160
D2374	D	34080
D2375/D2378	D	21540
D2376/D2377	D	29520
D2381/D2384	D	45600
D2382/D2383	D	25560
D2501	D	25200
D2502	D	27660
D2504	D	29280
D2505	D	28800
D2506	D	33000
D2507	D	30300
D2508	D	33360
D2510	D	35100
D2511	D	38100
D2512	D	40020
D2513	D	34080
D2515	D	45900
D2516	D	43800
D2517	D	39900
D2518	D	46500
D2519	D	46380
D2520	D	48300
D2521	D	55260
D2524	D	54000
D2525	D	59220
D2527	D	62820
D2528	D	62580
D2529	D	63780
D2530	D	63780
D2531	D	67500
D2533	D	68940
D2534	D	68700
D2537	D	23280
D2538	D	38460
D2540	D	61620
D2541	D	25200
D2561	D	34500
D2562	D	54000
D2563	D	45000
D2564	D	63000
D2565	D	54060
D2566	D	31320
D2567	D	28200
D2568	D	54120
D2569	D	49260
D2571	D	65220
D2572	D	27600
D2651	D	28800
D2652	D	28140
D2653	D	30720
D2654	D	30240
D2655	D	41100
D2656	D	32460
D2657	D	43380
D2659	D	45900
D2660	D	41700
D2661	D	56400
D2662	D	44280
D2663	D	67200
D2664	D	54420
D2665	D	72420
D2666	D	55680
D2667	D	70920
D2668	D	57480
D2670	D	68700
D2671	D	27360
D2672	D	30480
D2673	D	49140
D2674	D	44100
D2675	D	73200
D2676	D	60000
D2677	D	65820
D2678	D	51300
D2679	D	37200
D2680	D	24960
D2681	D	67800
D2682	D	38160
D2683	D	28200
D2684	D	71400
D2685	D	32400
D2687	D	36660
D2688	D	27120
D2689	D	46920
D2690	D	42420
D2692	D	37440
D2693	D	54000
D2695	D	57300
D2697	D	61260
D2699	D	58680
D2701	D	29220
D2706	D	36600
D2708	D	39600
D2711	D	40380
D2712	D	42960
D2741	D	51480
D2742	D	29220
D2743	D	24000
D2746	D	58980
D2749/D2752	D	43080
D2750	D	61200
D2751/D2754	D	23580
D2757	D	58800
D2803	D	29400
D2804	D	25560
D2806	D	31320
D2807	D	30720
D2809	D	32400
D2811	D	33000
D2812	D	36300
D2815	D	39120
D2818	D	40680
D2823	D	37200
D2825	D	52440
D2830	D	54000
D2831	D	57420
D2834	D	54900
D2837	D	62580
D2838	D	60240
D2840	D	60720
D2841	D	64500
D2842	D	65400
D2844	D	57300
D2877/D2880	D	41220
D2878/D2879	D	47400
D2943/D2946	D	49440
D2944/D2945	D	33060
D2947/D2950	D	54060
D2948/D2949	D	41640
D2951/D2954	D	29820
D2952/D2953	D	47580
D2955/D2958	D	45720
D2956/D2957	D	63060
D2959	D	28920
D2960	D	49320
D2961	D	36600
D2962	D	34500
D2963	D	30240
D2965	D	45900
D2969	D	62400
D2970	D	70920
D2972	D	48960
D2975	D	63060
D2976	D	56400
D2979	D	69060
D2980	D	62340
D2982	D	72960
D2984	D	67680
D2985	D	27300
D2986/D2987	D	43800
D2991/D2994	D	42960
D2992/D2993	D	26280
D2995/D2998	D	70080
D2996/D2997	D	29700
D3001/D3004	D	54000
D3002/D3003	D	23880
D3005/D3008	D	24900
D3006/D3007	D	49980
D3009/D3012	D	30600
D3010/D3011	D	52860
D3013/D3016	D	28740
D3014/D3015	D	58020
D3021/D3024	D	56580
D3022/D3023	D	33300
D3025/D3028	D	27060
D3026/D3027	D	48420
D3031/D3034	D	23580
D3032/D3033	D	54960
D3041/D3044	D	34800
D3042/D3043	D	60420
D3045/D3048	D	41100
D3046/D3047	D	64380
D3055/D3058	D	25500
D3056/D3057	D	26340
D3059/D3062	D	58800
D3060/D3061	D	32760
D3063/D3066	D	59760
D3064/D3065	D	27060
D3067/D3070	D	57000
D3068/D3069	D	34320
D3071/D3074	D	24060
D3072/D3073	D	22440
D3081	D	53040
D3082	D	32580
D3083	D	57120
D3084	D	33900
D3089/D3092	D	56160
D3090/D3091	D	36900
D3101	D	54480
D3102	D	27600
D3104	D	28200
D3107	D	34800
D3109	D	26280
D3110	D	74160
D3111	D	27180
D3112	D	40380
D3125	D	23820
D3126	D	24600
D3131/D3134	D	27420
D3132/D3133	D	39480
D3135/D3138	D	29340
D3136/D3137	D	22800
D3141/D3144	D	40320
D3142/D3143	D	25140
D3145/D3148	D	24000
D3146/D3147	D	39240
D3151/D3154	D	51960
D3152/D3153	D	38580
D3155/D3158	D	37740
D3156/D3157	D	59700
D3165/D3168	D	43740
D3166/D3167	D	27180
D3169	D	59040
D3170	D	24120
D3171	D	54720
D3172	D	34200
D3201	D	30000
D3202	D	48480
D3205	D	34500
D3206	D	46440
D3211	D	23700
D3212	D	62040
D3213	D	57060
D3214	D	34740
D3215	D	51240
D3216	D	28800
D3217	D	57240
D3218	D	29880
D3219	D	25140
D3220	D	63780
D3222	D	29280
D3223	D	39660
D3226	D	50700
D3227	D	63000
D3229	D	41880
D3230	D	60180
D3231	D	26160
D3232	D	56100
D3233	D	52020
D3234	D	24720
D3235	D	54480
D3236	D	30240
D3237/D3240	D	42840
D3238/D3239	D	22440
D3261/D3264	D	56160
D3262/D3263	D	29280
D3265	D	53700
D3266	D	29280
D3271/D3274	D	29820
D3272/D3273	D	45120
D3275/D3278	D	53100
D3276/D3277	D	29760
D3281/D3284	D	74100
D3282/D3283	D	38340
D3285/D3288	D	37680
D3286/D3287	D	36840
D3289	D	50400
D3290	D	45300
D3291/D3294	D	44100
D3292/D3293	D	31740
D3295/D3298	D	27900
D3296/D3297	D	30960
D3301/D3304	D	55080
D3302/D3303	D	25620
D3305	D	61560
D3306	D	40620
D3307	D	29940
D3308	D	42240
D3323	D	68760
D3324	D	26700
D3332	D	29580
D3333	D	24300
D3334	D	60540
D3335	D	29100
D3336	D	51960
D3337	D	35700
D3338	D	57360
D3339	D	38820
D3340	D	63420
D3395/D3398	D	33120
D3396/D3397	D	58740
D3561	D	26280
D3563	D	29760
D3564	D	31800
D3567	D	57780
D3568	D	47880
D3570	D	53340
D3571	D	52800
D3572	D	29100
D3601	D	30600
D3602	D	27360
D3603	D	26880
D3604	D	28440
D3605	D	27480
D3606	D	29160
D3607	D	27780
D3608	D	29460
D3609	D	28500
D3610	D	39240
D3611	D	29220
D3612	D	44160
D3613	D	30060
D3614	D	47280
D3616	D	49680
D3618	D	55680
D3619	D	33540
D3620	D	55980
D3621	D	34140
D3623	D	41280
D3624	D	59340
D3625	D	41940
D3627	D	42240
D3628	D	64680
D3629	D	46320
D3630	D	65040
D3631	D	47100
D3632	D	66900
D3633	D	52920
D3634	D	67320
D3635	D	57960
D3636	D	68040
D3638	D	68460
D3639	D	64140
D3640	D	70500
D3641	D	67200
D3642	D	71700
D3643	D	69660
D3644	D	71340
D3645	D	71460
D3677/D3680	D	50400
D3678/D3679	D	34560
D3701/D3704	D	32640
D3702/D3703	D	29880
D3705/D3708	D	29400
D3706/D3707	D	30600
D3709/D3712	D	33720
D3710/D3711	D	32160
D3713/D3716	D	49740
D3714/D3715	D	36360
D3717/D3720	D	50520
D3718/D3719	D	36720
D3721/D3724	D	52800
D3722/D3723	D	42000
D3725/D3728	D	56040
D3726/D3727	D	42960
D3729/D3732	D	57000
D3730/D3731	D	45480
D3733/D3736	D	61500
D3734/D3735	D	52320
D3737/D3740	D	63840
D3742/D3743	D	57600
D3751	D	29160
D3752	D	29400
D3753	D	30360
D3754	D	34200
D3755	D	45420
D3756	D	41040
D3757	D	49500
D3758	D	45840
D3759	D	54600
D3760	D	46860
D3761	D	61860
D3762	D	58980
D3763	D	63780
D3764	D	61980
D3781/D3784	D	28800
D3782/D3783	D	34860
D3785/D3788	D	30360
D3786/D3787	D	50700
D3789/D3792	D	34080
D3790/D3791	D	54300
D3793/D3796	D	54480
D3801/D3804	D	27600
D3802/D3803	D	24840
D3806/D3807	D	27060
D3809/D3812	D	32100
D3810/D3811	D	27780
D3813/D3816	D	33780
D3814/D3815	D	30180
D3817/D3820	D	36540
D3818/D3819	D	31800
D3821/D3824	D	38520
D3822/D3823	D	34920
D3825/D3828	D	39720
D3826/D3827	D	35640
D3829/D3832	D	41460
D3830/D3831	D	38160
D3837/D3840	D	44100
D3838/D3839	D	39960
D3841/D3844	D	37080
D3842/D3843	D	37440
D3845/D3848	D	49020
D3846/D3847	D	42360
D3849/D3852	D	41760
D3850/D3851	D	45120
D3853/D3856	D	42840
D3857/D3860	D	55860
D3858/D3859	D	51060
D3862/D3863	D	56880
D3902	D	29940
D3903	D	26160
D3904	D	35820
D3905	D	44640
D3906	D	54240
D3907	D	53880
D3910	D	66600
D3921/D3924	D	28920
D3922/D3923	D	28080
D3925/D3928	D	57180
D3926/D3927	D	51960
D3931	D	30720
D3932/D3933	D	25800
D3934	D	32700
D3935/D3938	D	35280
D3936/D3937	D	23700
D3943/D3946	D	40380
D3944/D3945	D	31680
D3947/D3950	D	43680
D3948/D3949	D	30780
D3951/D3954	D	46860
D3952/D3953	D	32460
D3956/D3957	D	39000
D3958	D	51480
D3960/D3961	D	25200
D3962	D	56160
D4061	D	35940
D4063	D	64080
D5081	D	27900
D5082	D	30000
D5083	D	39900
D5086	D	50100
D5087	D	60120
D5092	D	73800
D5102	D	66960
D5103	D	27600
D5104	D	67920
D5105	D	28620
D5113/D5116	D	56520
D5114/D5115	D	67740
D5117	D	31920
D5118	D	38400
D5121/D5124	D	28020
D5122/D5123	D	43620
D5125/D5128	D	48600
D5126/D5127	D	60300
D5134/D5135	D	30720
D5137/D5140	D	68640
D5138/D5139	D	53340
D5141	D	26220
D5142	D	28740
D5143	D	76980
D5144	D	79560
D5145	D	44640
D5146	D	48420
D5147	D	56400
D5148	D	61200
D5150/D5151	D	77160
D5152	D	26760
D5153	D	70920
D5154	D	60780
D5156	D	67320
D5158/D5159	D	52080
D5160	D	42180
D5161	D	51240
D5162	D	44340
D5171	D	27000
D5172	D	26880
D5173	D	39360
D5174	D	45000
D5175	D	57540
D5176	D	49620
D5177	D	58440
D5178	D	63600
D5179	D	72840
D5180	D	75660
D5181	D	29940
D5182	D	29160
D5184	D	34500
D5185	D	40860
D5187	D	46080
D5188	D	52500
D5190	D	58140
D5191	D	63120
D5192	D	60960
D5193	D	70260
D5194	D	72180
D5195	D	73140
D5196	D	37620
D5197	D	48960
D5199	D	32880
D5206/D5207	D	44040
D5211/D5214	D	46800
D5212/D5213	D	31020
D5215/D5218	D	29760
D5221/D5224/D5253	D	40800
D5222/D5223	D	61200
D5225/D5228	D	70500
D5226/D5227	D	61800
D5233	D	56400
D5234	D	44100
D5235	D	25200
D5241	D	28800
D5242	D	25200
D5243	D	52860
D5244	D	67140
D5246	D	63300
D5250	D	29280
D5251	D	28200
D5252	D	37800
D5254	D	71520
D5271/D5274	D	36000
D5272/D5273	D	33000
D5276/D5277	D	61200
D5282/D5283	D	45360
D5291/D5294	D	26280
D5303	D	56700
D5305	D	65040
D5306	D	27300
D5307	D	76740
D5308	D	50520
D5312	D	23700
D5314	D	25680
D5317	D	27480
D5318	D	41460
D5319	D	31200
D5320	D	45780
D5321	D	31680
D5322	D	56040
D5323	D	33000
D5324	D	61560
D5325	D	35040
D5326	D	61320
D5327	D	45480
D5328	D	66540
D5329	D	50640
D5330	D	65580
D5331	D	56880
D5332	D	66540
D5333	D	58200
D5334	D	73380
D5335	D	65640
D5336	D	71580
D5337	D	73680
D5342	D	33180
D5343	D	38640
D5347	D	26940
D5348	D	74520
D5351	D	31980
D5352	D	23640
D5355	D	63120
D5356	D	48540
D5381/D5384	D	28020
D5382/D5383	D	46440
D5385/D5388	D	30240
D5386/D5387	D	48840
D5495	D	26400
D5497	D	28800
D5499	D	78120
D5500	D	27180
D5501/D5504	D	23040
D5502/D5503	D	25440
D5505/D5508	D	27600
D5506/D5507	D	28800
D5511/D5514	D	36120
D5512/D5513	D	33300
D5516/D5517	D	46380
D5518	D	39300
D5522/D5523	D	48000
D5524	D	42840
D5526/D5527	D	50160
D5528	D	55860
D5531/D5534	D	60420
D5532/D5533	D	53220
D5535/D5538	D	63300
D5536/D5537	D	65580
D5541/D5544	D	66000
D5542/D5543	D	71760
D5545/D5548	D	75660
D5546/D5547	D	73800
D5549/D5552	D	27000
D5550/D5551	D	70200
D5562/D5563	D	19860
D5564	D	24300
D5577	D	32400
D5578	D	40500
D5579	D	58020
D5580	D	65700
D5581	D	48120
D5582	D	46620
D5585	D	69840
D5586	D	21120
D5587	D	78720
D5588	D	23100
D5589	D	75240
D5590	D	32400
D5595	D	64500
D5596	D	30000
D5597	D	38400
D5601	D	32700
D5602	D	34560
D5603	D	42900
D5604	D	41280
D5605	D	49680
D5606	D	51600
D5607	D	60600
D5608	D	58440
D5609	D	66720
D5610	D	66780
D5622	D	57000
D5641	D	25200
D5642	D	28920
D5644	D	65820
D5646	D	25980
D5651	D	24660
D5652	D	24660
D5653	D	26280
D5654	D	32220
D5655	D	32520
D5656	D	40200
D5657	D	40800
D5658	D	48660
D5659	D	48060
D5660	D	56160
D5661	D	56160
D5662	D	64800
D5663	D	63600
D5664	D	71700
D5665	D	73500
D5666	D	75120
D5752/D5753	D	26700
D5756/D5757	D	37200
D5760/D5761	D	44400
D5763/D5766	D	26700
D5764/D5765	D	58980
D5767/D5770	D	44400
D5768/D5769	D	64140
D5801/D5804	D	30360
D5802/D5803	D	19980
D5805/D5808	D	41040
D5806/D5807	D	34380
D5809/D5812	D	45000
D5810/D5811	D	56580
D5814/D5815	D	29700
D5817/D5820	D	24960
D5821/D5824	D	68880
D5822/D5823	D	58860
D5825/D5828	D	64800
D5861/D5864	D	57900
D5862/D5863	D	27300
D5866/D5867	D	29100
D5881/D5884	D	52500
D5882/D5883	D	28320
D5941	D	25860
D5942	D	34320
D5943	D	26160
D5945	D	63000
D5946	D	54480
D5947	D	28380
D5948	D	38280
D5949	D	32580
D5950	D	40860
D5951	D	51360
D5952	D	27420
D5953	D	71400
D5954	D	69600
D5957	D	49260
D5958	D	40560
D5961	D	68940
D5962	D	57660
D5965	D	41040
D5966	D	57780
D5968	D	23160
D5970	D	28800
D5991/D5994	D	55740
D5992/D5993	D	31500
D6003	D	25620
D6004	D	31740
D6007	D	41160
D6011	D	67980
D6012	D	70980
D6016/D6017	D	55560
D6019/D6022	D	70980
D6020	D	22800
D6023	D	60720
D6024	D	45300
D6025	D	55260
D6026	D	44220
D6028	D	72960
D6035	D	66300
D6051	D	24720
D6053	D	47940
D6066	D	21000
D6078	D	52620
D6079	D	43860
D6080	D	42120
D6101	D	30240
D6102	D	23100
D6103	D	39600
D6104	D	33600
D6105	D	74460
D6106	D	68700
D6111	D	42600
D6113	D	70380
D6114	D	37020
D6115	D	79800
D6116	D	65460
D6117	D	53640
D6118	D	48660
D6131	D	29220
D6132	D	26340
D6133	D	64800
D6134	D	61080
D6141	D	26700
D6142	D	29460
D6151	D	37680
D6152	D	34620
D6153	D	43680
D6154	D	40740
D6155	D	48360
D6156	D	46080
D6157	D	53640
D6158	D	51180
D6159	D	58440
D6160	D	56100
D6161	D	64320
D6162	D	61440
D6163	D	69180
D6164	D	66600
D6165	D	74820
D6166	D	71520
D6167	D	80460
D6168	D	77580
D6181	D	22980
D6185/D6188	D	70620
D6186/D6187	D	29880
D6192	D	25740
D6201	D	22860
D6204	D	28800
D6206	D	32760
D6207	D	25800
D6208	D	36120
D6210	D	41580
D6212	D	46500
D6213	D	32520
D6214	D	47400
D6216	D	54000
D6217	D	31860
D6218	D	51240
D6219	D	36780
D6220	D	59400
D6221	D	39660
D6223	D	43440
D6224	D	65460
D6225	D	45600
D6226	D	62100
D6227	D	51480
D6228	D	70800
D6229	D	56820
D6231	D	53040
D6233	D	55680
D6237	D	70140
D6238	D	56220
D6241	D	53220
D6242	D	40980
D6251	D	29940
D6254	D	36780
D6255	D	48000
D6256	D	46500
D6257	D	57720
D6258	D	58020
D6259	D	67560
D6260	D	68820
D6261	D	36120
D6262	D	24960
D6263	D	62940
D6264	D	51300
D6265/D6268	D	57540
D6271/D6274	D	45180
D6272/D6273	D	44460
D6312/D6313	D	34920
D6315/D6318	D	33780
D6321/D6324	D	24480
D6322/D6323	D	64080
D6329	D	30240
D6330	D	69120
D6332	D	32040
D6333	D	57000
D6335	D	37740
D6336	D	30840
D6339	D	60420
D6340	D	53460
D6341	D	23280
D6342	D	25500
D6343	D	31260
D6344	D	30000
D6345	D	35580
D6348	D	40380
D6349	D	45960
D6352	D	57000
D6353	D	63780
D6360	D	76740
D6374	D	28200
D6381/D6384	D	42840
D6382/D6383	D	25680
D6405/D6408	D	40560
D6407/D6410	D	33900
D6409/D6412	D	28800
D6415/D6418	D	59100
D6417/D6420	D	66540
D6419/D6422	D	72300
D6425	D	27840
D6426	D	34620
D6427	D	51780
D6428	D	59520
D6434/D6435	D	27120
D6436/D6437	D	46920
D6438/D6439	D	46320
D6440/D6441	D	53400
D6442/D6443	D	61140
D6444/D6445	D	67920
D6448/D6449	D	71640
D6471	D	27480
D6472	D	34140
D6473	D	41400
D6474	D	48060
D6475	D	63960
D6476	D	36720
D6501	D	28020
D6502	D	30540
D6503	D	35160
D6505	D	33480
D6506	D	50820
D6507	D	49980
D6508	D	52800
D6509	D	53280
D6510	D	64020
D6511	D	69420
D6512	D	69000
D6513	D	33540
D6514	D	52020
D6521	D	26040
D6522	D	30300
D6523	D	31980
D6524	D	26640
D6525	D	28860
D6526	D	50400
D6527	D	35400
D6528	D	56640
D6529	D	45720
D6530	D	60360
D6531	D	62940
D6532	D	64200
D6533	D	64980
D6534	D	66300
D6542	D	67380
D6543	D	54660
D6544	D	48840
D6548	D	29280
D6561	D	41100
D6562	D	61320
D6571/D6574	D	59160
D6572/D6573	D	24000
D6575/D6578	D	51840
D6576/D6577	D	28800
D6579	D	69000
D6580	D	30780
D6581	D	26640
D6582	D	42420
D6583	D	43260
D6584	D	60960
D6591/D6594	D	36120
D6592/D6593	D	51840
D6595/D6598	D	34380
D6596/D6597	D	43680
D6635	D	39420
D6636	D	60840
D6655	D	29040
D6656	D	37740
D6657	D	46800
D6658	D	58500
D6671/D6674	D	73800
D6677	D	66000
D6678	D	25500
D6731/D6734	D	44640
D6732/D6733	D	25500
D6735/D6738	D	62100
D6736/D6737	D	42000
D6739	D	22380
D6740	D	25920
D6751	D	22560
D6752	D	28800
D6753	D	29100
D6754	D	35220
D6755	D	30420
D6756	D	42600
D6757	D	35880
D6758	D	45600
D6759	D	50700
D6760	D	50400
D6761	D	53400
D6762	D	56100
D6763	D	57720
D6764	D	59700
D6765	D	63180
D6766	D	69600
D6767	D	65880
D6768	D	72420
D6769	D	33600
D6770	D	23400
D6771	D	40740
D6772	D	37800
D6773	D	46680
D6774	D	57000
D6775	D	66600
D6776	D	64800
D6777	D	54000
D6778	D	25200
D6779	D	73440
D6780	D	58800
D6801	D	26700
D6802	D	32100
D6809	D	37800
D6812	D	43200
D6817	D	50400
D6818	D	55860
D6821	D	60960
D6822	D	66720
D6839	D	32100
D6840	D	28740
D6851	D	24600
D6852	D	28200
D6853	D	27000
D6854	D	27600
D6855	D	31620
D6856	D	32400
D6857	D	34800
D6858	D	34620
D6859	D	40200
D6860	D	35100
D6861	D	45600
D6862	D	39600
D6863	D	51420
D6864	D	42540
D6865	D	59400
D6866	D	48960
D6867	D	68400
D6868	D	52920
D6869	D	71700
D6870	D	59520
D6871	D	74700
D6872	D	68100
D6873	D	77100
D6874	D	76140
D6901	D	19980
D6902	D	20820
D6903	D	20520
D6904	D	21600
D6905	D	22320
D6906	D	24060
D6907	D	24600
D6908	D	28920
D6909	D	25500
D6910	D	31500
D6911	D	29280
D6912	D	37800
D6913	D	32160
D6914	D	40200
D6915	D	36060
D6916	D	42480
D6917	D	39720
D6918	D	50580
D6919	D	44520
D6920	D	54720
D6921	D	45180
D6922	D	55560
D6923	D	46560
D6924	D	60120
D6925	D	51600
D6926	D	62160
D6927	D	58200
D6929	D	60960
D6930	D	68520
D6931	D	63000
D6932	D	70980
D6933	D	66660
D6934	D	77400
D6936	D	80340
D6961	D	41760
D6962	D	51420
D6963	D	62040
D6964	D	71160
D6965	D	28800
D6966	D	28800
D6967	D	64200
D6968	D	41520
D7003	D	24360
D7005	D	25980
D7007	D	28860
D7008	D	78900
D7009	D	36900
D7010	D	42720
D7031	D	24120
D7032	D	72000
D7033	D	23940
D7101/D7102	D	26100
D7103/D7104	D	40500
D7105/D7106	D	51000
