idHotel	name	description	price	id	guest_capacity	room_type
14	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	298	40	2	DOUBLE
15	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	441	41	2	DOUBLE
15	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	871	42	3	SUITE
15	标准间	标准间，简洁整洁，设施完备，高性价比之选。	195	43	2	STANDARD
16	标准间	标准间，简洁整洁，设施完备，高性价比之选。	286	44	2	STANDARD
16	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	368	45	2	DOUBLE
16	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	875	46	3	SUITE
17	标准间	标准间，简洁整洁，设施完备，高性价比之选。	288	47	2	STANDARD
17	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	544	48	3	SUITE
17	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	453	49	2	DOUBLE
18	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	826	50	3	SUITE
18	标准间	标准间，简洁整洁，设施完备，高性价比之选。	297	51	2	STANDARD
19	标准间	标准间，简洁整洁，设施完备，高性价比之选。	214	52	2	STANDARD
19	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	726	53	3	SUITE
20	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	599	54	3	SUITE
20	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	264	55	2	DOUBLE
21	标准间	标准间，简洁整洁，设施完备，高性价比之选。	286	56	2	STANDARD
21	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	288	57	2	DOUBLE
21	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	487	58	3	SUITE
22	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	664	59	3	SUITE
22	标准间	标准间，简洁整洁，设施完备，高性价比之选。	229	60	2	STANDARD
23	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	262	61	2	DOUBLE
23	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	749	62	3	SUITE
24	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	272	63	2	DOUBLE
24	标准间	标准间，简洁整洁，设施完备，高性价比之选。	283	64	2	STANDARD
25	标准间	标准间，简洁整洁，设施完备，高性价比之选。	254	65	2	STANDARD
25	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	540	66	3	SUITE
26	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	786	67	3	SUITE
26	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	378	68	2	DOUBLE
27	标准间	标准间，简洁整洁，设施完备，高性价比之选。	212	69	2	STANDARD
27	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	486	70	3	SUITE
27	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	284	71	2	DOUBLE
28	标准间	标准间，简洁整洁，设施完备，高性价比之选。	286	72	2	STANDARD
28	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	463	73	2	DOUBLE
29	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	360	74	2	DOUBLE
29	标准间	标准间，简洁整洁，设施完备，高性价比之选。	210	75	2	STANDARD
30	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	727	76	3	SUITE
30	标准间	标准间，简洁整洁，设施完备，高性价比之选。	249	77	2	STANDARD
31	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	568	78	3	SUITE
31	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	284	79	2	DOUBLE
31	标准间	标准间，简洁整洁，设施完备，高性价比之选。	218	80	2	STANDARD
32	标准间	标准间，简洁整洁，设施完备，高性价比之选。	223	81	2	STANDARD
32	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	295	82	2	DOUBLE
32	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	796	83	3	SUITE
33	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	404	84	2	DOUBLE
33	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	736	85	3	SUITE
34	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	363	86	2	DOUBLE
34	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	488	87	3	SUITE
34	标准间	标准间，简洁整洁，设施完备，高性价比之选。	258	88	2	STANDARD
35	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	738	89	3	SUITE
35	标准间	标准间，简洁整洁，设施完备，高性价比之选。	270	90	2	STANDARD
36	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	725	91	3	SUITE
36	标准间	标准间，简洁整洁，设施完备，高性价比之选。	311	92	2	STANDARD
36	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	399	93	2	DOUBLE
37	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	816	94	3	SUITE
37	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	477	95	2	DOUBLE
38	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	642	96	3	SUITE
38	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	310	97	2	DOUBLE
38	标准间	标准间，简洁整洁，设施完备，高性价比之选。	269	98	2	STANDARD
39	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	853	99	3	SUITE
39	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	432	100	2	DOUBLE
40	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	281	101	2	DOUBLE
40	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	565	102	3	SUITE
41	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	831	103	3	SUITE
41	标准间	标准间，简洁整洁，设施完备，高性价比之选。	265	104	2	STANDARD
42	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	302	105	2	DOUBLE
42	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	748	106	3	SUITE
43	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	436	107	2	DOUBLE
43	标准间	标准间，简洁整洁，设施完备，高性价比之选。	233	108	2	STANDARD
44	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	345	109	2	DOUBLE
44	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	811	110	3	SUITE
45	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	416	111	2	DOUBLE
45	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	580	112	3	SUITE
46	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	431	113	2	DOUBLE
46	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	665	114	3	SUITE
47	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	828	115	3	SUITE
47	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	319	116	2	DOUBLE
47	标准间	标准间，简洁整洁，设施完备，高性价比之选。	280	117	2	STANDARD
48	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	537	118	3	SUITE
48	标准间	标准间，简洁整洁，设施完备，高性价比之选。	286	119	2	STANDARD
49	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	782	120	3	SUITE
49	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	367	121	2	DOUBLE
49	标准间	标准间，简洁整洁，设施完备，高性价比之选。	315	122	2	STANDARD
50	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	478	123	2	DOUBLE
50	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	821	124	3	SUITE
50	标准间	标准间，简洁整洁，设施完备，高性价比之选。	225	125	2	STANDARD
51	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	431	126	2	DOUBLE
51	标准间	标准间，简洁整洁，设施完备，高性价比之选。	191	127	2	STANDARD
51	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	679	128	3	SUITE
52	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	441	129	2	DOUBLE
52	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	772	130	3	SUITE
52	标准间	标准间，简洁整洁，设施完备，高性价比之选。	216	131	2	STANDARD
53	标准间	标准间，简洁整洁，设施完备，高性价比之选。	206	132	2	STANDARD
53	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	628	133	3	SUITE
54	标准间	标准间，简洁整洁，设施完备，高性价比之选。	264	134	2	STANDARD
54	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	618	135	3	SUITE
54	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	316	136	2	DOUBLE
55	标准间	标准间，简洁整洁，设施完备，高性价比之选。	222	137	2	STANDARD
55	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	733	138	3	SUITE
55	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	401	139	2	DOUBLE
56	标准间	标准间，简洁整洁，设施完备，高性价比之选。	181	140	2	STANDARD
56	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	712	141	3	SUITE
56	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	368	142	2	DOUBLE
57	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	827	143	3	SUITE
57	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	338	144	2	DOUBLE
57	标准间	标准间，简洁整洁，设施完备，高性价比之选。	228	145	2	STANDARD
58	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	409	146	2	DOUBLE
58	标准间	标准间，简洁整洁，设施完备，高性价比之选。	276	147	2	STANDARD
59	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	412	148	2	DOUBLE
59	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	720	149	3	SUITE
60	标准间	标准间，简洁整洁，设施完备，高性价比之选。	308	150	2	STANDARD
60	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	751	151	3	SUITE
60	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	418	152	2	DOUBLE
61	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	750	153	3	SUITE
61	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	283	154	2	DOUBLE
62	标准间	标准间，简洁整洁，设施完备，高性价比之选。	260	155	2	STANDARD
62	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	261	156	2	DOUBLE
63	标准间	标准间，简洁整洁，设施完备，高性价比之选。	280	157	2	STANDARD
63	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	459	158	2	DOUBLE
64	标准间	标准间，简洁整洁，设施完备，高性价比之选。	228	159	2	STANDARD
64	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	300	160	2	DOUBLE
64	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	810	161	3	SUITE
65	标准间	标准间，简洁整洁，设施完备，高性价比之选。	242	162	2	STANDARD
65	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	399	163	2	DOUBLE
66	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	468	164	2	DOUBLE
66	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	537	165	3	SUITE
66	标准间	标准间，简洁整洁，设施完备，高性价比之选。	193	166	2	STANDARD
67	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	396	167	2	DOUBLE
67	标准间	标准间，简洁整洁，设施完备，高性价比之选。	306	168	2	STANDARD
68	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	456	169	2	DOUBLE
68	标准间	标准间，简洁整洁，设施完备，高性价比之选。	248	170	2	STANDARD
68	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	834	171	3	SUITE
69	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	339	172	2	DOUBLE
69	标准间	标准间，简洁整洁，设施完备，高性价比之选。	225	173	2	STANDARD
70	标准间	标准间，简洁整洁，设施完备，高性价比之选。	259	174	2	STANDARD
70	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	764	175	3	SUITE
71	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	326	176	2	DOUBLE
71	标准间	标准间，简洁整洁，设施完备，高性价比之选。	193	177	2	STANDARD
72	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	403	178	2	DOUBLE
72	标准间	标准间，简洁整洁，设施完备，高性价比之选。	198	179	2	STANDARD
72	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	847	180	3	SUITE
73	标准间	标准间，简洁整洁，设施完备，高性价比之选。	190	181	2	STANDARD
73	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	332	182	2	DOUBLE
74	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	297	183	2	DOUBLE
74	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	696	184	3	SUITE
74	标准间	标准间，简洁整洁，设施完备，高性价比之选。	253	185	2	STANDARD
75	标准间	标准间，简洁整洁，设施完备，高性价比之选。	268	186	2	STANDARD
75	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	493	187	3	SUITE
75	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	440	188	2	DOUBLE
76	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	568	189	3	SUITE
76	标准间	标准间，简洁整洁，设施完备，高性价比之选。	285	190	2	STANDARD
76	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	293	191	2	DOUBLE
77	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	274	192	2	DOUBLE
77	标准间	标准间，简洁整洁，设施完备，高性价比之选。	269	193	2	STANDARD
78	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	699	194	3	SUITE
78	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	396	195	2	DOUBLE
79	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	432	196	2	DOUBLE
79	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	554	197	3	SUITE
79	标准间	标准间，简洁整洁，设施完备，高性价比之选。	262	198	2	STANDARD
80	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	366	199	2	DOUBLE
80	标准间	标准间，简洁整洁，设施完备，高性价比之选。	204	200	2	STANDARD
81	标准间	标准间，简洁整洁，设施完备，高性价比之选。	306	201	2	STANDARD
81	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	670	202	3	SUITE
81	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	453	203	2	DOUBLE
82	标准间	标准间，简洁整洁，设施完备，高性价比之选。	245	204	2	STANDARD
82	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	709	205	3	SUITE
82	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	396	206	2	DOUBLE
83	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	344	207	2	DOUBLE
83	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	862	208	3	SUITE
84	标准间	标准间，简洁整洁，设施完备，高性价比之选。	296	209	2	STANDARD
84	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	689	210	3	SUITE
84	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	273	211	2	DOUBLE
85	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	709	212	3	SUITE
85	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	264	213	2	DOUBLE
86	标准间	标准间，简洁整洁，设施完备，高性价比之选。	320	214	2	STANDARD
86	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	300	215	2	DOUBLE
87	标准间	标准间，简洁整洁，设施完备，高性价比之选。	214	216	2	STANDARD
87	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	399	217	2	DOUBLE
87	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	788	218	3	SUITE
88	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	304	219	2	DOUBLE
88	标准间	标准间，简洁整洁，设施完备，高性价比之选。	316	220	2	STANDARD
89	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	416	221	2	DOUBLE
89	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	827	222	3	SUITE
89	标准间	标准间，简洁整洁，设施完备，高性价比之选。	313	223	2	STANDARD
90	标准间	标准间，简洁整洁，设施完备，高性价比之选。	181	224	2	STANDARD
90	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	642	225	3	SUITE
91	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	668	226	3	SUITE
91	标准间	标准间，简洁整洁，设施完备，高性价比之选。	194	227	2	STANDARD
92	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	363	228	2	DOUBLE
92	标准间	标准间，简洁整洁，设施完备，高性价比之选。	232	229	2	STANDARD
93	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	828	230	3	SUITE
93	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	315	231	2	DOUBLE
93	标准间	标准间，简洁整洁，设施完备，高性价比之选。	186	232	2	STANDARD
94	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	433	233	2	DOUBLE
94	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	567	234	3	SUITE
95	标准间	标准间，简洁整洁，设施完备，高性价比之选。	247	235	2	STANDARD
95	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	272	236	2	DOUBLE
96	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	300	237	2	DOUBLE
96	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	731	238	3	SUITE
97	标准间	标准间，简洁整洁，设施完备，高性价比之选。	216	239	2	STANDARD
97	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	805	240	3	SUITE
97	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	339	241	2	DOUBLE
98	标准间	标准间，简洁整洁，设施完备，高性价比之选。	185	242	2	STANDARD
98	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	382	243	2	DOUBLE
98	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	680	244	3	SUITE
99	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	455	245	2	DOUBLE
99	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	493	246	3	SUITE
100	标准间	标准间，简洁整洁，设施完备，高性价比之选。	194	247	2	STANDARD
100	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	600	248	3	SUITE
100	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	329	249	2	DOUBLE
101	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	778	250	3	SUITE
101	标准间	标准间，简洁整洁，设施完备，高性价比之选。	283	251	2	STANDARD
102	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	691	252	3	SUITE
102	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	331	253	2	DOUBLE
103	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	505	254	3	SUITE
103	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	341	255	2	DOUBLE
104	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	445	256	2	DOUBLE
104	标准间	标准间，简洁整洁，设施完备，高性价比之选。	300	257	2	STANDARD
104	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	611	258	3	SUITE
105	标准间	标准间，简洁整洁，设施完备，高性价比之选。	199	259	2	STANDARD
105	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	724	260	3	SUITE
106	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	322	261	2	DOUBLE
106	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	512	262	3	SUITE
106	标准间	标准间，简洁整洁，设施完备，高性价比之选。	261	263	2	STANDARD
107	标准间	标准间，简洁整洁，设施完备，高性价比之选。	310	264	2	STANDARD
107	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	460	265	2	DOUBLE
107	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	862	266	3	SUITE
108	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	312	267	2	DOUBLE
108	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	625	268	3	SUITE
108	标准间	标准间，简洁整洁，设施完备，高性价比之选。	309	269	2	STANDARD
109	标准间	标准间，简洁整洁，设施完备，高性价比之选。	296	270	2	STANDARD
109	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	433	271	2	DOUBLE
110	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	395	272	2	DOUBLE
110	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	492	273	3	SUITE
110	标准间	标准间，简洁整洁，设施完备，高性价比之选。	207	274	2	STANDARD
111	标准间	标准间，简洁整洁，设施完备，高性价比之选。	278	275	2	STANDARD
111	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	663	276	3	SUITE
112	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	609	277	3	SUITE
112	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	378	278	2	DOUBLE
112	标准间	标准间，简洁整洁，设施完备，高性价比之选。	189	279	2	STANDARD
113	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	476	280	2	DOUBLE
113	标准间	标准间，简洁整洁，设施完备，高性价比之选。	308	281	2	STANDARD
114	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	507	282	3	SUITE
114	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	264	283	2	DOUBLE
114	标准间	标准间，简洁整洁，设施完备，高性价比之选。	258	284	2	STANDARD
115	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	280	285	2	DOUBLE
115	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	586	286	3	SUITE
116	标准间	标准间，简洁整洁，设施完备，高性价比之选。	262	287	2	STANDARD
116	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	814	288	3	SUITE
116	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	408	289	2	DOUBLE
117	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	758	290	3	SUITE
117	标准间	标准间，简洁整洁，设施完备，高性价比之选。	315	291	2	STANDARD
118	标准间	标准间，简洁整洁，设施完备，高性价比之选。	308	292	2	STANDARD
118	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	326	293	2	DOUBLE
119	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	814	294	3	SUITE
119	标准间	标准间，简洁整洁，设施完备，高性价比之选。	240	295	2	STANDARD
120	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	836	296	3	SUITE
120	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	316	297	2	DOUBLE
120	标准间	标准间，简洁整洁，设施完备，高性价比之选。	236	298	2	STANDARD
121	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	353	299	2	DOUBLE
121	标准间	标准间，简洁整洁，设施完备，高性价比之选。	191	300	2	STANDARD
122	标准间	标准间，简洁整洁，设施完备，高性价比之选。	249	301	2	STANDARD
122	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	302	302	2	DOUBLE
123	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	454	303	2	DOUBLE
123	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	593	304	3	SUITE
123	标准间	标准间，简洁整洁，设施完备，高性价比之选。	242	305	2	STANDARD
